"","Asparagus.acutifolius","Crataegus.monogyna","Daphne.gnidium","Lonicera.periclymenum","Myrtus.communis","Olea.europaea","Osyris.alba","Phillyrea.angustifolia","Pistacia.lentiscus","Pyrus.bourgaeana","Rhamnus.lycioides","Rubia.pregrina","Rubus.ulmifolius","Smilax.aspera","Tamus.communis"
"Alectoris.rufa",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Carduelis.chloris",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Coccothraustes.coccothraustes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Columba.palumbus",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Corvus.corax",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Corvus.monedula",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Cyanopica.cyanus",0,1,0,0,1,1,0,0,1,1,1,0,1,0,1
"Emberiza.calandra",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Erithacus.rubecula",1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
"Ficedula.hypoleuca",0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
"Fringilla.coelebs",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Luscinia.megarhynchos",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Muscicapa.striata",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Parus.caeruleus",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Parus.major",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Passer.domesticus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Phoenicurus.ochruros",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Phoenicurus.phoenicurus",0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
"Phylloscopus.collybita",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"Phylloscopus.trochilus",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Regulus.ignicapilla",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Saxicola.rubetra",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Saxicola.rubicola",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sturnus.unicolor",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Sturnus.vulgaris",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sylvia.atricapilla",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Sylvia.borin",1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
"Sylvia.cantillans",0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
"Sylvia.communis",0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
"Sylvia.conspicillata",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sylvia.hortensis",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"Sylvia.melanocephala",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
"Sylvia.undata",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Turdus.iliacus",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Turdus.merula",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Turdus.philomelos",0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"Turdus.viscivorus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
