"","Asparagus.acutifolius","Crataegus.monogyna","Daphne.gnidium","Lonicera.periclymenum","Myrtus.communis","Olea.europaea","Osyris.alba","Phillyrea.angustifolia","Pistacia.lentiscus","Pyrus.bourgaeana","Rhamnus.lycioides","Rubia.pregrina","Rubus.ulmifolius","Smilax.aspera","Tamus.communis"
"Alectoris.rufa",0,0,0,0,0,2,0,0,6,0,0,0,0,0,0
"Carduelis.chloris",0,0,0,0,0,23,0,0,224,0,0,0,0,0,0
"Coccothraustes.coccothraustes",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Columba.palumbus",0,0,0,0,0,18,0,0,35,0,0,0,0,0,0
"Corvus.corax",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Corvus.monedula",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
"Cyanopica.cyanus",0,8,0,0,14.6,42,0,0,149,65,9,0,8.3,0,3
"Emberiza.calandra",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"Erithacus.rubecula",1.3,0,0.5,0,26.4,33.25,0,0.2,432.8,0,3.1,0,0.5,0.8,0
"Ficedula.hypoleuca",0,0,0,0.2,0,0,0,0.7,42.9,0,1.6,0,0,0.1,0
"Fringilla.coelebs",0,0,0,0,0,3,0,0,32,0,0,0,0,0,0
"Luscinia.megarhynchos",0,0,0,0,0,0,0,0,4.95,0,0.65,0,0.2,0,0
"Muscicapa.striata",0,0,0,0,0,0,0,0,11.8,0,1.05,0,0.2,0,0
"Parus.caeruleus",0,0,0,0,0,1.1,0,0,1.05,0,0,0,0,0,0
"Parus.major",0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
"Passer.domesticus",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"Phoenicurus.ochruros",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Phoenicurus.phoenicurus",0,0,0.05,0,0,0,0,0,17,0,0.5,0,2.4,0,0
"Phylloscopus.collybita",0,0,0,0,0,0.15,0,0.1,2.2,0,0,0,0,0,0
"Phylloscopus.trochilus",0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0
"Regulus.ignicapilla",0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0
"Saxicola.rubetra",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Saxicola.rubicola",0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0
"Sturnus.unicolor",0,0,0,0,0,5,0,0,47,0,0,0,0,0,0
"Sturnus.vulgaris",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Sylvia.atricapilla",16.5,1.8,75.6,1.5,45.6,247.65,0.6,88.7,1601.6,2.8,21.6,18.2,6.6,19.9,0
"Sylvia.borin",0.3,0,54.9,2.3,0,0.75,1.2,114,373.5,0,84.7,28.05,31.4,10.7,2
"Sylvia.cantillans",0,0,2.5,0,0.05,0,0,3.4,21.6,0,3.5,0,4.9,0,0
"Sylvia.communis",0,0,1.1,0,0,0,0,6.5,21.05,0,6.2,0,2.7,0,0
"Sylvia.conspicillata",0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0
"Sylvia.hortensis",0,0,0,0,0,0,0,3,8.75,0,0,0,0.4,0.05,0
"Sylvia.melanocephala",3.8,0,15.85,0.7,2,3.7,0.4,22,450.7,0,53.75,2,9.45,2.05,0.15
"Sylvia.undata",0,0,0,0,0.3,0,0,0,12.2,0,0,0,0,0,0
"Turdus.iliacus",0,0,0,0,0,14.7,0,0,13,0,0,0,0,0,0
"Turdus.merula",0.05,5.9,2,3.05,9.1,83.05,5,39.75,200.5,4,10.75,0.05,34.4,3.1,7
"Turdus.philomelos",0,5.1,0,0,8.8,115.7,0,0.2,126.5,0,0,0,0,0,0
"Turdus.viscivorus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
