NA	Prunus mahaleb	Crataegus monogyna	Berberis vulgaris	Juniperus phoenicea	Taxus baccata	Hedera helix	Rosa canina	Lonicera arborea	Juniperus sabina	Juniperus communis	Rhamnus saxatilis	Rhamnus myrtifolius	Daphne laureola	Sorbus aria	Rubus ulmifolius	Amelanchier ovalis	Arum italicum	Prunus prostrata	Rubia peregrina	Cotoneaster granatensis	Juniperus oxycedrus	Lonicera etrusca	Lonicera splendida	Paeonia officinalis	Polygonatum odoratum
Turdus viscivorus	829	265	15	123	79	8	22	2	16	17	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0
Phoenicurus ochruros	941	49	91	8	47	1	11	35	6	2	10	9	0	0	2	1	0	0	0	0	0	0	0	0	0
Turdus merula	583	146	30	20	62	143	50	19	7	21	0	6	0	2	0	1	3	2	0	1	0	0	0	1	1
Fringilla coelebs	783	139	16	0	3	2	2	12	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0
Turdus torquatus	0	423	112	183	19	2	58	68	62	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Parus ater	391	82	4	3	12	0	1	14	1	1	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0
Turdus iliacus	0	216	37	2	12	7	9	1	9	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Erithacus rubecula	175	36	29	0	12	4	2	3	0	2	1	0	1	0	1	2	1	1	1	1	0	0	0	0	0
Sylvia atricapilla	62	12	19	0	0	84	0	12	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0
Garrulus glandarius	135	46	1	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia communis	182	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Parus major	41	74	11	0	10	0	5	17	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Turdus pilaris	0	85	12	8	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoenicurus phoenicurus	111	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Coccothraustes coccothraustes	3	83	0	8	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parus cristatus	37	37	12	0	4	0	3	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sitta europaea	33	22	0	0	26	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Parus caeruleus	61	14	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Columba palumbus	56	14	0	3	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia cantillans	32	4	14	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia melanocephala	35	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Corvus corone	19	10	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serinus serinus	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pica pica	0	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrocopos major	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turdus philomelos	0	12	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Loxia curvirostra	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia borin	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serinus citinella	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia conspicillata	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Corvus corax	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ficedula hypoleuca	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Emberiza cia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
