"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,0.000430292598967298,0,0,0.011429308453678,0,0,0,0,0,0,0.00473321858864028,0.00337947688559203,0.000860585197934596,0
"302",0,0,0,0,0,0.0081126954742323,0,0,0,0,0,0,0.00215146299483649,0,0,0
"303",0,0,0.000860585197934596,0,0,0.00774526678141136,0,0,0,0,0,0,0.00298061623969791,0.000430292598967298,0,0
"304",0,0,0.00387263339070568,0,0.000430292598967298,0.0283266928816381,0,0,0,0,0,0.0047017866355671,0.0446994888514114,0.00168973844279601,0,0
"305",0,0,0.00129087779690189,0,0,0.00986529782317467,0,0,0,0,0,0,0.00758810701604547,0,0,0
"306",0,0.000430292598967298,0.000860585197934596,0,0.000430292598967298,0.0162253909484646,0,0,0,0,0,0.000430292598967298,0.00891041676602054,0.000430292598967298,0,0.000430292598967298
"307",0,0,0.00258175559380379,0,0,0.0114607404067512,0,0,0,0,0,0.000430292598967298,0.00602409638554217,0,0,0.000430292598967298
"308",0,0,0,0,0,0.023047208625795,0,0,0.00377833753148615,0,0,0,0.00642295703143629,0,0,0
"309",0,0,0.000430292598967298,0,0,0.00602409638554217,0,0,0.00251889168765743,0,0,0,0.00212003104176331,0,0,0
"310",0,0,0,0,0,0.00645438898450947,0,0,0,0,0,0,0.0244854914440056,0,0,0
"311",0,0,0,0,0,0.00344234079173838,0,0,0,0,0,0,0.00804983156808595,0.000860585197934596,0,0.000430292598967298
"312",0,0,0.000860585197934596,0,0,0.0038412014376325,0,0,0,0,0,0.000860585197934596,0.00632866117221675,0,0.000430292598967298,0.000430292598967298
"313",0,0,0,0,0,0.00725211027629771,0,0,0,0,0,0,0.0148402172923432,0.000430292598967298,0,0
"314",0.000430292598967298,0,0.000430292598967298,0.00129087779690189,0.000860585197934596,0.0115236043128975,0,0,0,0.000430292598967298,0,0.00377833753148615,0.0147773533861968,0.000430292598967298,0,0.000430292598967298
"315",0,0,0.000430292598967298,0,0,0.0314644688867019,0,0,0.00125944584382872,0,0,0.00125944584382872,0.0147459214331236,0.00125944584382872,0,0.00125944584382872
"316",0,0,0,0,0,0.00645438898450947,0,0,0,0,0,0,0.00212003104176331,0,0,0
"317",0,0,0,0,0,0.00344234079173838,0,0,0,0,0,0.000860585197934596,0.0106001552088166,0,0,0
"318",0,0,0.00172117039586919,0,0,0.0149030811984895,0,0,0,0,0,0.000430292598967298,0.011061879760857,0,0.00251889168765743,0.000430292598967298
"319",0,0,0.00172117039586919,0,0,0.0130876149434008,0,0,0,0,0,0.00125944584382872,0.0169288163810333,0.00125944584382872,0,0
"320",0,0,0.000860585197934596,0,0,0.0133076386149131,0,0,0,0,0,0.00463892272942074,0.0038412014376325,0,0.000430292598967298,0.000860585197934596
"321",0,0,0.00301204819277108,0,0,0.00980243391702832,0,0,0,0,0,0.00125944584382872,0.00679038572425723,0,0.000430292598967298,0
"322",0,0,0.00301204819277108,0,0,0.0207385858655926,0,0,0,0,0,0,0.00473321858864028,0,0,0
"323",0,0,0,0,0,0.0106001552088166,0,0,0,0,0,0,0.0047017866355671,0,0,0
"324",0,0,0,0,0.000430292598967298,0.0167499794066514,0,0,0,0,0,0,0.000860585197934596,0,0,0
"325",0,0,0,0,0,0.0167499794066514,0,0,0,0,0,0.000430292598967298,0.0034109088386652,0,0,0
"326",0,0,0.00129087779690189,0,0,0.00682181767733041,0,0,0,0,0,0.00294918428662473,0.00344234079173838,0,0.00125944584382872,0
"327",0,0,0.000860585197934596,0,0,0.0342564934079607,0,0,0,0,0,0.00168973844279601,0.0155750746779851,0.00377833753148615,0.00298061623969791,0
"328",0,0.000430292598967298,0.000430292598967298,0,0,0.00556237183350169,0,0,0,0,0,0,0.00344234079173838,0.00125944584382872,0,0
"329",0,0,0,0,0,0.00642295703143629,0,0,0,0,0,0,0.007682402875265,0,0,0.000430292598967298
"330",0,0,0.000430292598967298,0,0,0.0085429880731996,0,0,0,0,0,0,0.00639152507836311,0,0,0
"331",0,0,0.00129087779690189,0,0,0.00860585197934595,0,0,0.000430292598967298,0,0,0,0.00298061623969791,0.000430292598967298,0,0.000430292598967298
"332",0,0,0.00129087779690189,0,0,0.0341936295018144,0,0,0,0,0,0.00168973844279601,0.0135179075423681,0.000430292598967298,0.00420863013045344,0.000860585197934596
"333",0,0,0.000430292598967298,0,0,0.00891041676602054,0.000430292598967298,0,0,0,0,0.000430292598967298,0.00546807597428216,0,0,0
"334",0,0,0.000430292598967298,0,0,0.0160996631361719,0,0,0,0,0,0,0.00765097092219183,0,0,0.000860585197934596
"335",0,0,0.00129087779690189,0,0,0.00301204819277108,0,0,0,0,0.000860585197934596,0.000430292598967298,0.00301204819277108,0.000430292598967298,0,0
"336",0,0,0.000430292598967298,0,0.000430292598967298,0.0144099246933759,0,0,0,0,0,0,0.00549950792735534,0,0,0
"337",0,0,0.00559380378657487,0,0,0.0207700178186658,0,0.000430292598967298,0,0,0.000860585197934596,0.00125944584382872,0.0197837048084385,0.00251889168765743,0,0
"338",0,0,0.00344234079173838,0,0,0.0200351604330239,0,0,0,0,0,0.000430292598967298,0.00725211027629771,0,0.000430292598967298,0.000430292598967298
"339",0,0,0.00172117039586919,0,0,0.0034109088386652,0,0,0,0,0,0,0.00251889168765743,0,0,0
"340",0,0,0.000430292598967298,0,0,0.0149345131515627,0,0,0.00125944584382872,0,0,0,0.0139167681882622,0.00125944584382872,0,0
