"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
"302",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"303",0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"304",0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
"305",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"306",0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"307",0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
"308",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"309",0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"310",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"311",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"312",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"313",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"314",1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1
"315",0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1
"316",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"317",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"318",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"319",0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
"320",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"321",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
"322",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"323",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"324",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"325",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"326",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
"327",0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0
"328",0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"329",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"330",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"331",0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
"332",0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"333",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
"334",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
"335",0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0
"336",0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"337",0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
"338",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"339",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"340",0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
