"","Alectoris.rufa","Cettia.cetti","Chloris.chloris","Columba.palumbus","Cyanopica.cooki","Erithacus.rubecula","Fringilla.coelebs","Phoenicurus.ochruros","Phylloscopus.collybita","Streptopelia.decaocto","Sturnus.unicolor","Sylvia.atricapilla","Sylvia.melanocephala","Sylvia.undata","Turdus.merula","Turdus.philomelos"
"301",0,0,1,0,0,15,0,0,0,0,0,0,11,4,2,0
"302",0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0
"303",0,0,2,0,0,18,0,0,0,0,0,0,5,1,0,0
"304",0,0,9,0,1,35,0,0,0,0,0,9,48,2,0,0
"305",0,0,3,0,0,21,0,0,0,0,0,0,8,0,0,0
"306",0,1,2,0,1,30,0,0,0,0,0,1,13,1,0,1
"307",0,0,6,0,0,17,0,0,0,0,0,1,14,0,0,1
"308",0,0,0,0,0,42,0,0,3,0,0,0,13,0,0,0
"309",0,0,1,0,0,14,0,0,2,0,0,0,3,0,0,0
"310",0,0,0,0,0,15,0,0,0,0,0,0,28,0,0,0
"311",0,0,0,0,0,8,0,0,0,0,0,0,11,2,0,1
"312",0,0,2,0,0,7,0,0,0,0,0,2,7,0,1,1
"313",0,0,0,0,0,13,0,0,0,0,0,0,21,1,0,0
"314",1,0,1,3,2,21,0,0,0,1,0,3,17,1,0,1
"315",0,0,1,0,0,50,0,0,1,0,0,1,15,1,0,1
"316",0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0
"317",0,0,0,0,0,8,0,0,0,0,0,2,15,0,0,0
"318",0,0,4,0,0,25,0,0,0,0,0,1,18,0,2,1
"319",0,0,4,0,0,15,0,0,0,0,0,1,22,1,0,0
"320",0,0,2,0,0,29,0,0,0,0,0,5,7,0,1,2
"321",0,0,7,0,0,17,0,0,0,0,0,1,10,0,1,0
"322",0,0,7,0,0,27,0,0,0,0,0,0,11,0,0,0
"323",0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0
"324",0,0,0,0,1,37,0,0,0,0,0,0,2,0,0,0
"325",0,0,0,0,0,37,0,0,0,0,0,1,6,0,0,0
"326",0,0,3,0,0,12,0,0,0,0,0,3,8,0,1,0
"327",0,0,2,0,0,43,0,0,0,0,0,2,15,3,5,0
"328",0,1,1,0,0,11,0,0,0,0,0,0,8,1,0,0
"329",0,0,0,0,0,13,0,0,0,0,0,0,14,0,0,1
"330",0,0,1,0,0,16,0,0,0,0,0,0,11,0,0,0
"331",0,0,3,0,0,20,0,0,1,0,0,0,5,1,0,1
"332",0,0,3,0,0,39,0,0,0,0,0,2,16,1,4,2
"333",0,0,1,0,0,13,1,0,0,0,0,1,5,0,0,0
"334",0,0,1,0,0,22,0,0,0,0,0,0,12,0,0,2
"335",0,0,3,0,0,7,0,0,0,0,2,1,7,1,0,0
"336",0,0,1,0,1,20,0,0,0,0,0,0,7,0,0,0
"337",0,0,13,0,0,29,0,1,0,0,2,1,19,2,0,0
"338",0,0,8,0,0,35,0,0,0,0,0,1,13,0,1,1
"339",0,0,4,0,0,6,0,0,0,0,0,0,2,0,0,0
"340",0,0,1,0,0,27,0,0,1,0,0,0,15,1,0,0
