ind,canopy_cover_m2,height_cm,crop,x,y,fruit_d1_mm,fruit_d2_mm,fruit_mass_mg,fruit_type,fruit_color,seeds_per_fruit,se_bc_area,se_per_bc_cover,se_cam_h
341,11.69579,NA,32525,-6.47176621,37.03045579,5.3759999999999994,4.831,47.9,drupe,black,1,0.22,0.018810187255414126,NA
342,29.6716,NA,2815,-6.4718919,37.0301573,6.156333333333333,5.398000000000001,51.97,drupe,black,1,0.22,0.007414497364483209,NA
343,4.36556,NA,2380,-6.47189513,37.03008445,5.685333333333333,4.971666666666667,56.98333333333333,drupe,black,1,0.22,0.0503944511128011,NA
344,10.0335,NA,9540,-6.47185246,37.0300611,5.274,4.404,37.82,drupe,black,1,0.22,0.02192654607066328,NA
345,10.62312,NA,994,-6.47179091,37.0300097,5.386111111111111,4.7444444444444445,45.733333333333334,drupe,black,1,0.22,0.020709546724502783,NA
346,24.26747,NA,6700,-6.47176222,37.02995951,5.127222222222222,4.581111111111111,38.211111111111116,drupe,black,1,0.22,0.009065633953601262,NA
347,1.97375,NA,609,-6.47165645,37.02993381,5.703333333333333,5.073333333333333,51.89,drupe,black,1,0.22,0.11146295123495883,NA
348,10.28469,NA,20160,-6.47150945,37.02993919,6.230666666666666,5.4703333333333335,71.71666666666667,drupe,black,1,0.22,0.02139101907787206,NA
349,16.05081,NA,5988,-6.47146224,37.0299607,5.1152,4.34,36.232,drupe,black,1,0.22,0.013706473380471143,NA
350,9.85928,NA,14500,-6.47159849,37.03001209,5.597666666666666,4.957000000000001,54.696666666666665,drupe,black,1,0.22,0.022314002645223586,NA
351,10.51475,NA,4171,-6.47196779,37.03010054,6.175333333333334,5.525333333333333,80.78666666666668,drupe,black,1,0.22,0.020922989134311325,NA
352,16.48375,NA,10570,-6.47202396,37.03023798,5.452333333333334,4.894666666666667,51.58,drupe,black,1,0.22,0.013346477591567452,NA
353,5.6411,NA,3270,-6.47207834,37.03026547,4.785757575757576,4.304545454545455,31.642424242424244,drupe,black,1,0.22,0.03899948591586747,NA
354,25.77276,NA,25604,-6.4723102,37.03025848,5.8340000000000005,5.2603333333333335,64.43,drupe,black,1,0.22,0.008536144363273471,NA
355,3.51136,NA,2223,-6.47233051,37.03020033,5.653666666666667,5.073666666666666,46.72333333333333,drupe,black,1,0.22,0.06265378656702816,NA
