ind,Chloris_chloris,Erithacus_rubecula,Sylvia_melanocephala,Cyanopica_cooki,Phoenicurus_phoenicurus,Sylvia_atricapilla,Luscinia_megarhynchos,Sylvia_undata,Columba_palumbus,Fringilla_coelebs,Hippolais_polyglotta,Turdus_philomelos,Turdus_merula,Sylvia_cantillans,Saxicola_rubicola,Sylvia_communis
341,744.0458971515252,254.81238929881064,330.4892333683593,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,698.9038429886589,256.3749469826572,318.97171883110684,112.26251678961789,21.52871328893414,0,0,0,0,0,0,0,0,0,0
343,0,223.44683254488487,47.12229322135215,0,0,0,0.5961841588169796,0,0,0,0,0,0,0,0,0
344,153.381322883385,255.79811838182263,140.25413755498337,0,0,19.104684670438665,0,22.90846150640413,0,0,0,0,0,0,0,0
345,160.66357182158873,121.60218698477635,100.07333285982206,0,0,0,0,0,0,0,0,0,0,0,0,0
346,528.1668712942663,1762.4010321299015,1249.0021713467527,0,34.593706317709504,0,0,0,0,0,0,0,0,0,0,0
347,67.4413106886189,36.805732961696776,21.08192513572208,0,0,0,0,0,17.911431333554525,0.25885143460407883,0,0,0,0,0,0
348,298.38482377676314,518.2197028932388,536.3769289708412,0,0,0,0,0,0,0,2.1344751172986305,0,0,0,0,0
349,0,351.698300560711,110.04960750331176,0,0,0,0,0,0,0,0,0,0,0,0,0
350,237.78176186565506,1011.5597067170443,263.6920165912836,0,16.794737318334416,0,0,34.26723599413839,0,0,0,0,0,0,0,0
351,139.45982071001748,151.73308392247134,52.584389441777304,0,0,0,0,5.920501548782314,0,0,0,0,0,0,0,0
352,0,1676.0410907070236,458.3897410896986,377.24345503065604,0,0,0,0,0,0,0,69.83202738558533,0,0,0,0
353,96.84153308548267,189.1741681365845,88.09364181832663,0,0,0,0,5.675779795155343,0,0,0,0,6.674311413460933,0,0,0
354,3093.7426609458325,1525.213798632639,223.7922270957165,0,0,0,0,0,0,0,0,0,0,0,0,0
355,51.16279718102567,98.4715255280271,0,0,0,0,0,0,0,0,0,0,0,0.22828449795995087,0,0
356,0,24.016489028804706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,47.522072277208565,23.680410768816074,0,1.7135505900661834,0,0,0,0,0,0,0,0,0,0,0
358,0,219.29740793399537,0,17.308937305393016,12.023205011552271,0,0,0,0,0,0,0,0,0,0,0
359,637.5250006369805,394.10581121052707,86.03500348964886,0,0,0,0,0,0,0,0,0,0,0,0,0
360,306.76942241732013,366.63099861395875,264.2095003246135,0,0,12.006551282137302,0,0,0,0,0,0,0,0,0,0
361,0,107.50114629314602,100.18594218769424,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,459.65738984266375,130.20688757908488,0,0,0,0,0,0,0,0,0,0,0,0,0
363,5671.502902243562,1553.2421567958845,2615.607515852169,0,0,0,0,0,0,0,0,0,0,0,0,0
364,2199.978815283029,2471.6012367741882,1541.7684690367478,670.9242592137487,0,0,0,0,0,0,0,96.95648494566177,630.6520097931806,0,0,0
365,0,1053.7307648803733,488.7036723100489,2198.0217216969113,40.851201629829006,0,0,0,0,0,0,0,0,0,0,0
366,804.223883592109,536.5012110176687,448.4674220145358,0,0,0,0,0,0,0,0,0,0,0,0,0
367,2107.154473598592,260.0529724362103,228.39337891354103,0,0,0,0,0,0,0,0,0,0,0,0,0
368,146.06348984679244,74.86704729827582,19.194132416628882,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,279.79374373941545,92.08500506365388,0,9.527930172893281,0,0,0,0,0,0,0,0,0,0,0
370,166.66119776106464,188.89783842767463,92.52185505039745,0,7.925616994879681,0,0,0,0,0,0,0,0,0,0,0
371,0,207.91373112773653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,106.38427578400763,23.09418452750329,0,0,0,0,0,0,0,0,0,0,0,0,0
373,110.88346011297824,30.652138661147987,24.178342599664308,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,7.276351435342443,0,0,0,0,0,0,0,0,0,0,0,0,0
375,32.35102017778644,63.511934287024985,12.284119872631294,0,0,0,0,0,0,0,0,0,0,0,0,0
376,353.8781715926158,74.16820194962378,43.33540329457693,0,0,0,0,0,0,0,0,0,0,0,0,0
378,45.50536484104647,98.920144366919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,803.3430581726235,1243.6469344559027,342.7796847009497,0,0,0,0,0,0,0,0,0,0,0,12.620662089065402,6.632365139156498
380,498.0967411538071,728.7341630516648,172.00076825927923,0,0,0,0,0,0,0,0,0,0,0,0,0
381,365.82724085879994,135.76918984793463,109.51968608528566,0,0,0,0,7.888182417411821,0,0,0,0,10.650037612051918,0,1.7111205372393359,0
