ind,area,canopy_cover_m2,height_cm,crop,d1_cm,d2_cm,x,y,fruit_d1_mm,fruit_d2_mm,fruit_mass_mg,seeds_per_fruit,total_seed_weight,one_seed_weight,pulp_weight,fruit_type,fruit_color,protein,fibre,lipids,ash,seed_viability,neigh_radio,neigh_fecundity_intra,neigh_density_intra,se_bc_days,se_bc_area,se_per_bc_cover,se_cam_days,se_per_cam_cover
C002,SABCOL,42.2,554,13290,715,654,37000176,-6506195,9.21,9.81,429.21,5.08,121.3,24.08,307.9,galbule,red_wine,NA,NA,NA,NA,26.9,5.65,4,2,425,0.52,0.01232227488,71,20
C014,SABCOL,40.4,718,9484,638,596,37000206,-6506253,9.38,9.5,399.58,5.8,97.11,16.8,302.47,galbule,red_wine,1.86,23.45,2.88,2.98,28.32,5.65,4,1,425,0.52,0.012871287129999999,58,20
C017,SABCOL,60.7,838,30902,742,620,37000146,-6506412,10.41,10.03,521.51,5.64,165.36,29.5,356.15,galbule,red_wine,NA,NA,NA,NA,67.02,5.65,5,5,425,0.56,0.00922570016,88,20
C018,SABCOL,11.3,430,5374,340,328,37000166,-6506502,10.41,10.68,516.2,5.98,120.65,20.23,395.54,galbule,red_wine,NA,NA,NA,NA,58.44,5.65,4,4,425,0.53,0.04690265487,73,60
C024,SABCOL,5.3,238,1000,284,218,37000136,-6506532,10.04,10.87,481.3,5.86,122.43,20.92,358.87,galbule,red_wine,3.71,26.76,2.4,3.18,20.68,5.65,2,3,425,0.5536,0.1044528302,75,60
C050,SABCOL,54.7,514,12840,716,668,37000051,-6506587,9.13,10.19,405.76,5.52,108.4,19.85,297.36,galbule,red_wine,NA,NA,NA,NA,66.81,5.65,5,2,425,0.5184,0.00947714808,63,20
C054,SABCOL,4.35,408,3405,378,308,3700006,-6506673,11.03,11.18,657.49,5.46,187.4,34.47,470.1,galbule,red_wine,NA,NA,NA,NA,42.85,5.65,4,2,425,0.6004,0.1380229885,94,60
C055,SABCOL,14.8,423,2543,454,386,37000712,-6506387,9.74,9.87,442.49,4.74,124.44,27.04,318.05,galbule,red_wine,NA,NA,NA,NA,61.74,5.65,4,2,425,0.582,0.03932432432,99,60
C056,SABCOL,34.6,537,15742,575,655,37000178,-6506571,10.33,10.96,608.92,5.94,144.5,24.39,464.42,galbule,red_wine,NA,NA,NA,NA,66.77,5.65,5,1,425,0.52,0.015028901729999999,195,40
C057,SABCOL,60.3,518,21826,867,632,37000179,-6506597,10.56,9.89,593.9,5.9,126.75,21.67,467.15,galbule,red_wine,2.6,24.74,2.32,3.5,59.6,5.65,5,2,425,0.5344,0.00886235489,75,20
C065,SABCOL,29.5,552,10152,486,448,37000262,-6506575,9.3,9.19,411.47,5.54,104.75,19.08,306.73,galbule,red_wine,3.03,22,1.55,3.75,28.22,5.65,5,1,425,0.5344,0.01811525424,63,40
C075,SABCOL,22.9,505,6602,685,628,37000332,-6506618,10.07,9.51,503.02,6.04,139.21,23.14,363.81,galbule,red_wine,2.41,22.92,2.98,3.44,34.38,5.65,4,5,425,0.284,0.01240174672,68,40
C083,SABCOL,25.4,489,10969,490,334,37000335,-6506171,9.73,10.45,458.92,6.1,132.86,21.8,326.06,galbule,red_wine,2.58,22.2,3.15,2.81,44.8,5.65,5,2,425,0.4976,0.01959055118,81,40
C086,SABCOL,28.4,522,3805,515,510,37000477,-6506206,10.36,10.06,523.11,4.8,106.71,22.31,416.4,galbule,red_wine,1.87,20.23,1.74,3.44,47.11,5.65,5,3,425,0.49,0.01725352113,66,40
