ind;Turdus_philomelos;Vulpes_vulpes;Turdus_merula;Erithacus_rubecula;Turdus_iliacus;Sylvia_melanocephala;Oryctolagus_cuniculus;Turdus_torquatus;Gennetta_genetta;Meles_meles
C002;2722;0;83;197;0;0;0;0;0;0
C014;2100;116;238;513;0;112;0;0;0;0
C017;443;0;0;996;0;0;0;0;0;0
C018;109;32;22;97;0;0;0;0;0;0
C024;20;29;0;78;0;0;0;0;0;0
C050;3615;34;344;69;0;0;0;0;0;0
C054;200;0;0;15;0;0;0;0;0;0
C055;838;0;63;37;0;22;7;0;0;0
C056;961;45;17;175;0;6;0;0;11;6
C057;7491;29;720;230;0;0;0;0;0;0
C065;2328;17;0;0;0;113;0;0;0;0
C075;1612;0;0;247;0;16;0;0;0;0
C083;730;0;104;0;0;13;0;0;0;0
C086;1673;16;59;0;59;0;0;0;0;0
C106;1064;10;99;66;0;43;0;0;0;0
C107;2828;92;194;654;0;0;0;0;0;0
C111;288;9;0;103;0;0;0;0;0;0
C119;177;22;11;33;0;0;0;0;0;0
C121;178;0;0;78;0;0;0;0;0;0
C126;1216;36;0;194;0;0;0;0;0;0
C131;573;9;0;31;0;0;13;0;0;0
C140;1027;41;80;112;0;31;0;0;0;0
C141;482;0;19;56;0;0;0;0;0;0
C150;386;0;16;52;0;15;0;8;8;0
C153;1292;20;49;118;0;29;0;0;29;0
C162;3256;0;0;389;0;0;0;0;0;0
C165;3657;0;176;173;0;0;0;0;0;0
C168;578;51;17;281;17;4;0;0;4;0
C172;598;0;112;130;0;0;0;0;0;0
C174;348;11;0;54;0;18;0;0;0;0
C176;702;89;128;64;0;64;0;0;0;0
C193;248;8;30;22;0;0;0;0;0;0
C197;70;11;0;14;0;0;7;0;0;0
C285;162;0;4;52;0;0;0;0;0;0
C316;1319;75;92;38;0;17;0;0;0;0
