ind;Turdus_philomelos;Vulpes_vulpes;Turdus_merula;Erithacus_rubecula;Turdus_iliacus;Sylvia_melanocephala;Sylvia_atricapilla;Oryctolagus_cuniculus;Gennetta_genetta;Meles_meles
O006;518;0;74;110;0;0;0;0;0;0
O008;426;41;13;41;0;0;0;93;13;0
O023;800;13;110;321;0;27;0;40;0;0
O042;1244;0;0;0;44;0;0;74;0;0
O045;1297;0;68;34;34;0;0;22;0;0
O054;796;0;0;29;0;29;0;148;0;0
O067;1013;0;0;41;0;0;0;18;0;0
O072;544;0;9;114;0;0;29;85;0;9
O105;1764;11;56;271;0;0;0;56;0;0
O112;1337;0;0;207;0;0;0;0;0;0
O123;196;0;0;24;0;0;24;41;0;0
O136;292;0;39;31;15;0;0;58;0;0
O137;8;0;8;16;0;0;0;48;0;0
O148;643;0;38;53;0;0;0;174;0;0
O231;452;22;0;85;22;32;0;71;0;0
O241;644;16;96;139;61;0;0;64;0;0
O268;714;16;182;49;0;48;0;207;0;0
O304;2502;80;69;617;0;0;0;124;0;0
O314;123;0;18;18;9;0;0;0;0;0
O334;372;0;0;0;0;0;0;0;0;0
O352;1058;41;114;163;0;0;0;17;0;0
O384;1080;0;28;114;0;0;0;29;0;0
O463;205;9;9;91;0;19;0;80;0;0
O488;604;0;25;170;0;16;0;118;0;0
O514;944;0;0;307;0;0;0;70;0;0
O553;1387;33;263;268;33;0;0;14;0;0
O580;802;0;379;224;0;33;0;45;0;0
O582;836;0;73;51;0;0;0;67;0;0
O621;746;0;61;72;0;0;0;33;0;0
O626;259;0;11;21;11;0;0;0;0;0
O642;915;0;245;309;0;9;0;0;0;0
O682;1375;14;317;370;0;0;0;324;0;0
O685;2085;0;521;608;0;0;0;111;0;0
O766;1251;0;111;238;0;0;0;0;0;0
O839;90;0;64;41;0;0;0;9;0;0
