ind;Turdus_philomelos;Vulpes_vulpes;Turdus_merula;Erithacus_rubecula;Turdus_iliacus;Sylvia_melanocephala;Sylvia_atricapilla;Oryctolagus_cuniculus;Cyanopica_cooki;Turdus_torquatus;Meles_meles
M029;100;0;10;10;0;0;0;0;0;0;0
M036;54;0;18;62;0;0;0;0;0;0;0
M058;435;36;73;109;0;0;0;0;0;0;0
M065;5;0;0;10;0;0;0;0;0;0;0
M087;156;0;0;88;0;19;0;46;0;0;9
M136;113;23;27;13;0;21;0;31;8;13;0
M139;82;0;7;7;0;0;0;15;0;15;0
M144;28;3;3;26;0;9;0;68;62;0;0
M176;329;0;101;51;0;0;0;0;0;0;0
M207;274;28;56;84;0;0;0;0;56;0;0
M208;170;0;43;0;0;0;0;8;0;0;0
M215;234;0;100;100;0;0;0;0;0;0;0
M219;94;0;22;0;0;0;0;0;0;0;0
M304;467;0;0;8;0;0;0;8;0;0;0
M315;62;0;9;35;0;0;0;9;0;0;9
M381;118;0;79;59;0;0;0;0;0;0;0
M457;903;0;34;69;0;0;34;10;0;0;0
M460;341;0;0;42;0;0;0;0;0;0;0
M518;363;29;0;40;0;0;0;0;0;0;0
M520;150;0;18;24;0;0;0;0;0;0;0
M531;168;0;0;113;0;0;0;0;0;0;0
M541;443;15;31;107;0;0;0;9;0;9;0
M581;234;0;15;69;0;0;0;0;0;0;0
M648;359;41;53;41;0;0;0;36;0;0;0
M664;263;0;39;46;16;0;0;8;0;0;8
M694;118;0;16;17;0;31;0;9;0;0;0
M702;399;0;22;134;0;0;0;0;0;0;0
M749;246;46;11;119;0;0;0;34;15;0;0
M820;376;0;35;68;0;0;18;25;0;0;0
M826;597;0;55;153;0;0;0;96;0;0;0
M843;463;46;56;33;46;0;0;87;68;0;0
M847;226;0;0;14;3;0;0;89;0;0;11
M849;138;0;0;25;0;0;0;40;0;0;0
M956;511;45;8;164;0;12;0;619;4;0;0
M986;258;0;178;58;0;0;0;106;0;0;0
