ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_triurus,Pitangus_sulphuratus,Pipraidea_bonariensis,Microspingus_melanoleucus,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus
1,0,2,0,0,0,0,12,8,0,0
2,13,20,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,3,0,0
4,4,3,0,0,0,0,0,0,0,0
5,7,0,2,0,0,2,0,0,0,11
6,27,0,15,0,0,0,0,0,0,32
7,7,0,9,0,0,0,0,0,0,7
8,41,0,0,0,0,0,0,0,0,0
9,6,0,0,0,0,0,0,3,0,6
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,2,1,0,0,0,0,0,0,0,12
13,5,3,5,0,0,0,0,0,0,0
14,0,7,0,0,5,0,0,8,5,7
15,8,0,0,2,0,0,0,0,0,2
