ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_saturninus,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus
16,24,0,0,0,0,0,3,0,45,0
17,0,0,9,0,0,0,0,6,0,0
18,0,0,0,0,0,0,0,12,0,12
19,3,0,3,0,0,0,0,0,0,0
20,9,0,0,0,0,0,0,0,0,6
21,0,0,0,0,0,0,0,0,0,0
22,0,5,0,0,0,4,0,0,2,0
23,0,0,0,0,0,0,4,0,0,0
24,15,0,0,0,0,0,0,0,0,12
25,9,0,2,0,0,0,7,0,15,0
26,3,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,4,6,8,0,0
28,8,5,0,0,0,0,0,0,0,0
29,0,2,0,0,2,0,0,0,0,0
30,16,11,0,6,0,0,0,0,0,0
