ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_triurus,Turdus_nigriceps,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Psilopsiagon_aymara,Myiopsitta_monachus,Thectocercus_acuticaudata
31,14,0,0,0,0,2,0,0,0,0,0,0,0
32,13,2,7,0,0,0,0,23,0,0,0,4,0
33,0,5,0,0,0,0,4,4,0,0,0,0,0
34,11,40,43,0,0,0,0,0,0,0,0,0,0
35,8,15,2,4,0,0,3,46,0,0,0,0,0
36,0,3,4,0,0,0,0,0,0,0,0,7,0
37,5,0,0,0,0,0,25,2,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,3,18,6
39,36,0,12,0,0,0,0,0,0,12,0,0,0
40,8,0,3,0,0,0,0,4,0,2,0,9,0
41,0,0,0,0,0,6,0,0,0,0,0,0,0
42,2,0,5,0,3,0,0,0,0,0,0,6,15
43,0,0,7,0,0,0,0,0,7,0,0,0,0
44,10,9,0,0,0,0,0,0,0,0,0,0,0
