ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Cyclaris_gujanensis,Turdus_nigriceps,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus,Thectocercus_acuticaudata
45,33,24,13,0,0,0,0,0,7,0,0,0
46,18,0,0,0,0,0,0,0,0,0,0,0
47,23,21,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,3,0,0,0,4,0,0,0
49,0,7,4,6,0,0,5,0,0,0,0,0
50,25,66,7,0,0,0,0,0,0,0,20,0
51,11,0,29,0,17,0,0,0,0,0,0,0
52,23,0,0,0,0,0,0,0,0,0,8,6
53,14,2,0,0,0,0,0,0,0,0,0,0
54,6,8,14,0,0,0,0,3,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,9,0,7,0,0,2,0,0,12,0,0,0
57,4,4,0,0,0,0,3,0,0,5,0,22
58,11,7,0,0,6,0,0,0,0,0,0,0
