ind,site_type,crop,neigh_n_fruits,neigh_fruiting_sp,neigh_and_focal_n_fruits,DBH_cm,height_cm,neigh_radio_m,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
59,no invasion,204486,0,1,204486,70,700,20,drupe,white-greyish,1,4
60,no invasion,98368,958,1,99326,55,600,20,drupe,white-greyish,1,4
61,no invasion,294465,0,1,294465,55,500,20,drupe,white-greyish,1,4
62,no invasion,87357,754,2,88111,60,600,20,drupe,white-greyish,1,4
63,no invasion,73629,233,2,73862,55,650,20,drupe,white-greyish,1,4
64,no invasion,109457,55,1,109512,65,700,20,drupe,white-greyish,1,4
65,no invasion,219199,1854,1,221053,70,800,20,drupe,white-greyish,1,4
66,no invasion,464688,380,1,465068,60,600,20,drupe,white-greyish,1,4
67,no invasion,137680,654,2,138334,50,550,20,drupe,white-greyish,1,4
68,no invasion,23876,40768,1,64644,50,600,20,drupe,white-greyish,1,4
69,no invasion,193844,1846,3,195690,60,600,20,drupe,white-greyish,1,4
70,no invasion,59784,2048,1,61832,47,650,20,drupe,white-greyish,1,4
71,no invasion,129232,12,1,129244,65,700,20,drupe,white-greyish,1,4
72,no invasion,87357,0,1,87357,55,700,20,drupe,white-greyish,1,4
73,no invasion,293746,0,1,293746,50,600,20,drupe,white-greyish,1,4
