ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Cyclaris_gujanensis,Pachyramphus_validus,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus,Thectocercus_acuticaudata
59,3,0,0,0,0,0,0,8,0,0,8
60,5,0,0,0,0,0,0,12,0,0,0
61,0,0,0,0,0,0,0,0,13,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,12,11,5,0,0,0,2,2,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,3,5,0,4,0,0,0,0,0,0,0
66,45,21,13,0,0,7,0,0,7,25,0
67,0,0,0,0,0,27,0,0,0,0,0
68,0,0,0,0,5,0,0,0,0,0,0
69,0,5,0,0,0,0,0,0,0,0,16
70,0,0,0,0,0,0,0,0,0,0,0
71,2,0,0,0,0,0,0,8,0,0,11
72,11,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,5,0,0,0,0,0
