ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,NO_ID,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,5.578947368421052,0.05263157894736842,0.5714285714285714,0,0.5263157894736842,0,1.2431077694235588,2.7368421052631575,0,0.05263157894736842,0,0.3157894736842105,0,0.47368421052631576,0,0.15789473684210525,0.5263157894736842,0
8,11.507692307692308,0.15384615384615385,0,0,0.23076923076923078,0,0.5076923076923077,3.076923076923077,0,0,0.46153846153846156,0.07692307692307693,0,0.15384615384615385,0,0.07692307692307693,0.6153846153846154,0
10,14.373103087388802,0.9769754055468342,1.1051805337519625,0.8116169544740974,3.9398220826792256,0.5782312925170068,1.8090005232862376,5.7577184720041865,2.2448979591836737,1.1051805337519625,0.15384615384615385,0.07692307692307693,0.16666666666666666,0,0,0,0,0.15384615384615385
13,1.0930232558139534,0.5,0,0.09302325581395349,0.18604651162790697,0,0.5,0.18604651162790697,5.209302325581396,0,0,0,0.5,0,0,0,0,0
12,0.2448979591836735,0,0,0,0,0,0,0,0,0.489795918367347,0,0,0,0,0,0,0,0
25,1.6,0,0.2,0,3,0,0.9454545454545455,0,0,0.5454545454545455,0,0,0,0,0,0,0,0
189,10.722222222222221,0,0,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0,0.1111111111111111,0.16666666666666666,0,0,0,0
9,0.25,0.08333333333333333,0.16666666666666666,0,1.4166666666666665,0,0,0.3333333333333333,0,0.8333333333333333,0.25,0,0,0,0,0,0,0
35,0.5,0,0,0.16666666666666666,1.3333333333333333,0,1.1666666666666665,5.333333333333333,0,0,0,0,0,0,0.3333333333333333,0,0,0
465,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,1.5,0,1.4,0.5,0,0,0,0,0,0,0,0,0,0
69,1,0,0,0,2.25,0,2.5,5.25,0,0,0.75,0,0,0,0,0,0,0
62,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
31,0.6666666666666666,0.375,0,0,0,0,0,0.9166666666666666,0,0,0,0,0,0,0,0,0,0
4,0.4,0,0.4,0,0.2,0,0.36363636363636365,0.7000000000000001,0,0.1,0.1,0,0,0,0,0,0,0
2,0.1,0,0,0,1.5,0,0,0,0,0.4,0,0,0,0,0,0,0,0
30,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0
34,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
