ind,gender,crop_1988,crop_1989,crop_8889,canopy_cover_m2,dist_first_cons_neigh,dist_second_cons_neigh,neigh_intra_density_15m,d1_cm,d2_cm,perim_cm,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
1933,H,4610,1270,5880,7.16,3.5,9,6,420,310,1060,drupe,black,1,31.799999999999997
1931,H,6750,3270,10020,32.96,11.5,12.7,3,520,509.99999999999994,2200,drupe,black,1,31.799999999999997
1932,F,8385,2860,11245,25.15,6,9,6,580,490.00000000000006,1930,drupe,black,1,31.799999999999997
1934,H,2540,642,3182,6.88,8.5,9.8,2,250,240,1040,drupe,black,1,28.299999999999997
1936,F,370,298,668,3.01,6.5,11.5,5,320,229.99999999999997,710,drupe,black,1,32.2
1937,H,8155,5920,14075,26.8,4,11,2,600,470,1989.9999999999998,drupe,black,1,30.5
1938,F,10775,3760,14535,23.3,6,8.5,4,550,500,1860.0000000000002,drupe,black,1,30.5
1939,F,7565,1935,9500,35.16,1.5,2,7,690,570,2270,drupe,black,1,20.8
1940,H,9210,1190,10400,21.02,1.5,4.5,5,530,440.00000000000006,1770,drupe,black,1,30.5
1921,F,14700,1515,16215,23.56,31,33,0,509.99999999999994,500,1870,drupe,black,1,27.5
1823,F,11755,1750,13505,48.7,5.5,13,3,570,480,2660,drupe,black,1,16.3
1824,H,4625,1110,5735,22.53,1.5,13,2,480,380,1830,drupe,black,1,16.6
1820,F,16840,1450,18290,37.76,18.5,21.5,0,680,620,2350,drupe,black,1,13.7
1825,H,3525,995,4520,12.5,57,65,0,450,270,2230,drupe,black,1,20.5
1929,H,624,210,834,2.23,1,2.5,6,200,190,620,drupe,black,1,27.5
8801,H,10594,4125,14719,25.15,9.3,22.8,1,590,440.00000000000006,1930,drupe,black,1,52.099999999999994
8808,F,1087,556,1643,4.92,1,6,7,300,210,890,drupe,black,1,52.6
8814,H,5568,2235,7803,4.57,1,27,9,229.99999999999997,190,860,drupe,black,1,52
8865,F,3994,1963,5957,40.45,8.7,21.7,1,840,400,2430,drupe,black,1,52.6
