ind,Columba_palumbus,Garrulus_glandarius,Turdus_merula,Phoenicurus_ochruros,Erithacus_rubecula,Parus_ater,Fringilla_coelebs,Sylvia_conspicillata,Sylvia_atricapilla,Turdus_viscivorus,Sylvia_communis,Sylvia_melanocephala,Sylvia_borin,Parus_caeruleus,Phoenicurus_phoenicurus,Parus_cristatus,Parus_major,Sylvia_cantillans,Sitta_europaea,Dendrocopos_major,NO_ID
1933,0,0.23529411764705882,0.35294117647058826,1.3025210084033614,0.29411764705882354,1.2647058823529411,2.899159663865546,0.11764705882352941,0.4117647058823529,1.0588235294117647,0.46218487394957986,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.13025210084033612,0,0.21428571428571427,0,0,0,0
1931,0,0.11764705882352941,0.058823529411764705,4.243697478991597,0.17647058823529413,0.6386554621848739,3.088235294117647,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.7352941176470589,0,0,0.14285714285714285,0.9159663865546218,0.17647058823529413,0.2857142857142857,0.07142857142857142,0,0,0.058823529411764705
1932,0,0.13025210084033612,0.17647058823529413,2.26890756302521,0,1.2857142857142856,2.03781512605042,0,0,0.058823529411764705,0.11764705882352941,0.07142857142857142,0,0,0.42857142857142855,0,0.20168067226890757,0.07142857142857142,0,0,0
1934,0,0.07142857142857142,0,0.5879120879120879,0,0.6098901098901098,0.45054945054945056,0,0,0,0,0,0,0,0.14285714285714285,0.15384615384615385,0,0,0,0,0
1936,0,0,0.12698412698412698,0.32539682539682535,0.14285714285714285,0,0.07142857142857142,0,0,0,0.1984126984126984,0.2698412698412698,0,0,0,0,0,0.07142857142857142,0,0,0
1937,0,0,1.3482142857142856,1.4017857142857142,0.375,0.2767857142857143,0.9732142857142857,0,0.07142857142857142,0,1.6517857142857144,0.20535714285714285,0,0.8214285714285714,0.49107142857142855,0,0,0.19642857142857142,0,0,0
1938,0,0,0.5357142857142857,0.8392857142857143,0.7946428571428572,0.26785714285714285,0.6696428571428572,0,0.19642857142857142,0.0625,1.8214285714285714,0.49107142857142855,0,0.5535714285714286,0.35714285714285715,0,0.26785714285714285,0.26785714285714285,0,0,0
1939,0,0,1,0.47619047619047616,1.619047619047619,0.6428571428571428,4.1190476190476195,0,0.07142857142857142,0,1,0.07142857142857142,0,0.45238095238095233,0,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0,0
1940,0,0,0.25,0.9285714285714286,1.8035714285714286,0.20535714285714285,2.580357142857143,0,0.41964285714285715,0,0.1875,0.2767857142857143,0,0.5,0.07142857142857142,0.07142857142857142,0,0,0,0,0
1921,0.0625,0.125,0.24431818181818182,4.801136363636363,0,0,2.2329545454545454,0,0.0625,0,0.2159090909090909,0,0,0.125,2.7102272727272725,0,0,0,0,0,0.18181818181818182
1823,0,2.8,1.6,4.300000000000001,1.7999999999999998,6,16.7,0,0.4,17.8,0,0,0,2.6,0.4,0,0.7,0,0.9,0.7,0.2
1824,0,0.1,2.4000000000000004,4.3,1,0.8,4.5,0,0.2,7,0,0,0,1.1,0.3,0,0,0,0,0,0.4
1820,0,1.4,0.3333333333333333,7.5,0.3333333333333333,0.6666666666666666,13,0,0,3.3333333333333335,0,0,0,0,0.1,0,0,0,0,0,0
1825,0,0.40404040404040403,0.09090909090909091,2.8282828282828283,0.3333333333333333,0.9898989898989898,8.03030303030303,0,0,1.323232323232323,0,0,0,0.1111111111111111,0.20202020202020202,0.18181818181818182,0.09090909090909091,0,0.5151515151515151,0,0
1929,0,0,0,0.6193181818181819,0,0,0.0625,0,0,0,0.34090909090909094,0,0,0,0.18181818181818182,0,0,0,0,0,0
8801,0,0.24,0.16,5.313846153846153,0.5492307692307692,0.8246153846153846,1.856923076923077,0,0,0.96,1.2615384615384615,0,0.04,1.3076923076923077,0.52,0.04,0.15846153846153846,1.066153846153846,0,0,0
8808,0,0.31846153846153846,0.19230769230769232,0.3107692307692308,0.2723076923076923,1.2923076923076922,0.9292307692307693,0,0.038461538461538464,1.310769230769231,0.19230769230769232,0,0.038461538461538464,0.08,0.12,0.04,0,0.07692307692307693,0.07692307692307693,0,0
8814,0.038461538461538464,0.16,0.9784615384615385,1.2446153846153845,3.0384615384615383,0.19384615384615386,0.11692307692307694,0,0,0.04,0.3169230769230769,0,0.04,0.04,0,0,0,0.04,0.04,0,0
8865,0,0,0.19846153846153847,1.810769230769231,0.12,1.603076923076923,0.5461538461538462,0,0,0.3584615384615385,0.5,0,0.07846153846153847,0.9476923076923077,0.27692307692307694,0,0,0.038461538461538464,0.2723076923076923,0,0
