ind,height_cm,crop,crop_ripe,n_infructescences,above_canopy_height_cm,canopy_openess,neigh_density_intra_10m,dist_nearest_fruiting_palm_m,dist_open_gap_in_50m,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
R02,700,180,180,1,1100,0.3,4,3,12,drupe,black,1,5
R05,700,480,480,1,1000,0.1,0,50,50,drupe,black,1,5
R06,700,155,155,2,900,0.5,2,4,20,drupe,black,1,5
R09,1000,1000,1000,1,1500,0,1,12,5,drupe,black,1,5
R10,800,200,200,1,1500,0,2,12,9,drupe,black,1,5
R11,1000,90,90,1,1100,0.3,3,6,10,drupe,black,1,5
R12,900,100,100,1,1100,0.5,1,6,50,drupe,black,1,5
R14,800,270,220,2,1100,0.5,0,13,8,drupe,black,1,5
R17,600,180,180,1,1000,0.3,1,8,8,drupe,black,1,5
R18,700,55,55,1,1000,0.3,1,8,10,drupe,black,1,5
R19,800,250,250,1,1100,0.5,0,15,15,drupe,black,1,5
R23,700,80,80,1,900,0.15,1,10,6,drupe,black,1,5
R24,600,260,260,1,1100,0.15,4,3,12,drupe,black,1,5
R26,900,85,85,2,1200,1,5,4,0,drupe,black,1,5
R29,700,300,70,2,900,0.4,0,18,7,drupe,black,1,5
R30,700,200,200,1,800,0.5,3,5,10,drupe,black,1,5
R31,500,110,110,1,800,0.4,3,3,16,drupe,black,1,5
