ind,Turdus_albicollis,Tachyphonus_coronatus,Turdus_flavipes,Procnias_nudicollis,Turdus_rufiventris,Trogon_viridis,Cyanocorax_caeruleus,Pyroderus_scutatus,Pitangus_sulphuratus
R02,4,0,0,0,0,0,0,0,0
R05,0,1,0,0,0,0,0,0,0
R06,0,0,4,0,0,0,0,0,0
R09,0,0,0,15,2,0,0,0,0
R10,0,0,2,4,0,0,0,0,0
R11,0,0,3,0,0,1,0,0,0
R12,0,0,3,11,0,1,0,0,0
R14,0,0,0,0,0,0,6,0,0
R17,11,0,0,13,3,0,4,0,0
R18,8,0,0,0,0,0,0,3,1
R19,2,0,2,0,2,0,0,0,0
R23,4,0,0,0,0,0,0,0,0
R24,2,0,0,0,0,0,0,0,0
R26,5,0,0,0,0,0,0,0,0
R29,3,0,0,0,0,6,0,0,0
R30,0,0,1,0,0,0,0,0,0
R31,0,0,2,0,0,2,0,0,0
