ind,Turdus_flavipes,Procnias_nudicollis,Ramphastos_vitellinus,Turdus_albicollis,Selenidera_maculirostris,Trogon_viridis,Carpornis_cucullata,Pyroderus_scutatus
P01,3,41,0,0,0,0,0,0
P02,10,0,13,0,0,0,0,0
P03,2,16,0,0,0,0,0,0
P04,0,44,0,0,0,0,0,0
P05,12,0,0,4,0,0,0,0
P06,28,0,0,0,0,0,0,0
P07,27,0,3,0,25,0,0,0
P08,0,50,0,0,0,0,0,0
P09,0,18,0,11,0,0,0,0
P11,0,0,0,0,2,0,0,0
P12,8,0,0,0,0,0,0,0
P13,5,0,0,1,0,0,0,0
P15,11,0,0,0,0,0,0,0
P17,0,0,0,6,0,0,0,0
P18,0,0,0,8,39,0,0,0
P19,0,7,0,0,0,0,0,0
P20,22,0,0,2,0,1,0,0
P21,1,0,0,0,9,0,3,0
P22,9,0,0,0,53,0,0,0
P23,23,0,0,0,24,0,0,4
P24,3,0,0,0,2,0,0,0
P25,2,0,0,0,0,0,0,0
P26,20,0,0,0,0,0,6,0
P27,7,0,0,0,0,0,0,0
P28,1,0,0,0,0,0,0,0
P31,6,0,0,0,0,0,0,0
P32,3,0,0,14,0,0,0,0
P34,3,0,0,2,0,0,0,0
P35,0,0,0,1,0,0,0,0
P36,2,0,0,0,0,0,0,0
