ind,fruit_type,fruit_color,seeds_per_fruit,se_obs_h
C1,compound,purple,>2000,6.5
C10,compound,purple,>2000,6.5
C11,compound,purple,>2000,6.5
C12,compound,purple,>2000,6.5
C13,compound,purple,>2000,6.5
C14,compound,purple,>2000,6.5
C15,compound,purple,>2000,6.5
C16,compound,purple,>2000,6.5
C17,compound,purple,>2000,6.5
C18,compound,purple,>2000,6.5
C19,compound,purple,>2000,6.5
C2,compound,purple,>2000,6.5
C20,compound,purple,>2000,6.5
C21,compound,purple,>2000,6.5
C22,compound,purple,>2000,6.5
C23,compound,purple,>2000,6.5
C24,compound,purple,>2000,6.5
C25,compound,purple,>2000,6.5
C26,compound,purple,>2000,6.5
C28,compound,purple,>2000,6.5
C3,compound,purple,>2000,6.5
C4,compound,purple,>2000,6.5
C5,compound,purple,>2000,6.5
C6,compound,purple,>2000,6.5
C7,compound,purple,>2000,6.5
C8,compound,purple,>2000,6.5
C9,compound,purple,>2000,6.5
