ind,Ducula_badia,Gracula_indica,Iole_indica,Irena_puella,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Psilopogon_viridis,Pycnonotus_jocosus ,Ratufa_indica,Rubigula_gularis
HETR01,0,0,0,0,0,0.2,0,0,0,0,0
HETR02,0,2.6,0,0,0,0,0,0,0,0,0
HETR03,0,9.6,0,0,0,0,0,0,0,0.26666666666666666,0
HETR05,0,0,0,0,0,0,1.2145748987854252,0,0,0,0
HETR06,0,1.923076923076923,0,0,0,0,0,0.3846153846153846,0.3846153846153846,0,0
HETR07,0.1935483870967742,1.161290322580645,0,0,0,0,0.1935483870967742,0.1935483870967742,0,0,0.1935483870967742
HETR08,0,0,0,0,0,0.38095238095238093,0,0,0,0,0
HETR09,0,0.375,0.1875,0,0,0,0,0,0,0,0
HETR10,0,4.457142857142857,0.17142857142857143,0.17142857142857143,0,0,0.6857142857142857,0.17142857142857143,0,0,0
HETR12,0,0,0,0.2,0,0,0,0,0,0.2,0
HETR13,0,0.17910447761194032,0,0,0,0,0,0.7164179104477613,0,0,0
HETR16,0,0.3870967741935484,0,0.3870967741935484,0,0,0,0.1935483870967742,0,0,0
HETR18,0,0,0,0,0,0,0.3692307692307692,0,0,0,0
HETR19,0,0,0,0,1.5,0,0,0,0,0,0
HETR21,0,0.489795918367347,0,0,0,0,0,0.7346938775510204,0,0.2448979591836735,0
HETR22,0.5714285714285714,0,0,0,0,0,0.38095238095238093,0.38095238095238093,0,0,0
HETR25,0,0,0,0,0,0,0.6956521739130435,0,0,0.17391304347826086,0
HETR26,0,1.7355371900826446,0,0,0.49586776859504134,0,0,0.24793388429752067,0,0,0
HETR27,0,1.9354838709677418,0,0,0,0,0,0,0,0,0
HETR28,0,0.4444444444444444,0,0,0,0,0,0,0,0,0
HETR31,0.1935483870967742,0,0,0,0,0,0,0,0,0,0
HETR32,0,0,0,0.23076923076923078,0,0,0,0,0,0,0
HETR33,0,19.764705882352942,0,0.23529411764705882,0,0,0,0,0,0,0
HETR35,0,0,0,0,0,0,0,0.2097902097902098,0,0,0
