ind,forest_500,x,y,altitude_m,crop,GBH,gbh2,se_obs_h,fruit_type,fruit_color,seeds_per_fruit,height_cm
MYDA01,0,10.36612001,76.93820327,1067.526855,30,237,N,4.166666666666667,Arillate,yellow-orange,1,2800
MYDA02,0,10.36639787,76.93832682,1053.857422,5,148,N,4.583333333333333,Arillate,yellow-orange,1,2000
MYDA03,0,10.36668705,76.93823285,1079.275879,4,182,N,6,Arillate,yellow-orange,1,2000
MYDA04,0.467,10.34771629,76.89878988,980.436401,4,211,N,5,Arillate,yellow-orange,1,3000
MYDA05,0.483,10.34755259,76.89824807,979.143677,13,169,N,4,Arillate,yellow-orange,1,3000
MYDA06,0.676,10.35785,76.917834,1142.44,10,189,N,5,Arillate,yellow-orange,1,2400
MYDA07,0.61,10.35741641,76.91566139,1104.21,22,167,N,4.166666666666667,Arillate,yellow-orange,1,2600
MYDA08,0.466,10.30956731,76.83735539,905.006042,44,167,N,5.15,Arillate,yellow-orange,1,2000
MYDA09,0.657,10.30776319,76.83397464,866.351379,15,115,N,4.333333333333333,Arillate,yellow-orange,1,1800
MYDA10,0.976,10.31491849,76.83060813,971.13562,2,142,N,5.083333333333333,Arillate,yellow-orange,1,1900
MYDA11,0.9,10.3142538,76.8326943,954.966003,5,178,N,4.416666666666667,Arillate,yellow-orange,1,1700
MYDA12,0.929,10.372744,76.993368,1349.94,5,179,N,4,Arillate,yellow-orange,1,2300
MYDA13,0.365,10.34741672,76.93420426,1101.88,8,235,N,5.233333333333333,Arillate,yellow-orange,1,3100
MYDA14,0.389,10.34749718,76.9337358,1099.05,7,265,N,3.9166666666666665,Arillate,yellow-orange,1,3300
MYDA15,0,10.36749758,76.9362502,1078.04,2,195,N,5.166666666666667,Arillate,yellow-orange,1,2800
MYDA16,0.409,10.34686318,76.93357486,1088.2,8,203,N,4.333333333333333,Arillate,yellow-orange,1,3300
MYDA17,0.978,10.31451272,76.83059832,958.175903,4,128,N,5,Arillate,yellow-orange,1,2100
MYDA18,0.74,10.30913925,76.83428301,889.415649,3,121,N,4.083333333333333,Arillate,yellow-orange,1,2000
MYDA19,0.503,10.35662767,76.91587245,1122.98,7,196,N,5.15,Arillate,yellow-orange,1,3000
MYDA20,0.414,10.34821761,76.93243174,1041.34,3,165,N,4.066666666666666,Arillate,yellow-orange,1,2900
MYDA21,0.365,10.34802625,76.93409462,964.510437,2,196,N,5,Arillate,yellow-orange,1,2800
MYDA22,0.995,10.39540973,76.87197441,814.611023,2,135,N,5,Arillate,yellow-orange,1,2400
MYDA23,1,10.40320801,76.87691513,710.563965,6,152,N,5,Arillate,yellow-orange,1,1700
MYDA24,1,10.40674232,76.87600695,721.457458,4,162,N,5,Arillate,yellow-orange,1,2100
MYDA31,1,10.40640939,76.87440625,783.805908,1,214,N,4.466666666666667,Arillate,yellow-orange,1,2400
MYDA25,1,10.39644197,76.87706533,705.895142,7,116,N,4.65,Arillate,yellow-orange,1,1800
MYDA26,1,10.39667205,76.87724085,707.304565,2,107,N,5.166666666666667,Arillate,yellow-orange,1,2100
MYDA27,1,10.39673156,76.87558944,713.025757,2,134,N,4,Arillate,yellow-orange,1,2100
MYDA28,0.941,10.38827028,76.87544955,704.841919,2,219,N,5,Arillate,yellow-orange,1,3200
MYDA29,1,10.40315436,76.87701998,711.382629,10,130,138,3.3333333333333335,Arillate,yellow-orange,1,2400
MYDA30,0.818,10.37449781,76.99336658,1339.745483,1,298,N,5.083333333333333,Arillate,yellow-orange,1,2500
MYDA32,0.881,10.37314237,76.99405666,1372.390991,34,262,N,5,Arillate,yellow-orange,1,3100
MYDA33,0.801,10.37483577,76.99323993,1343.760254,40,149,N,5,Arillate,yellow-orange,1,2900
