ind,Buceros_bicornis,Ducula_badia,Macaca_radiata,Macaca_silenus,Ocyceros_griseus,Ratufa_indica,Semnopithecus_johnii
MYDA01,0,0,0,0,0.24,0,0
MYDA02,0,0,0,0,0.2181818181818182,0,0
MYDA03,0,0,0,0,1,0,0
MYDA04,0,0,0.6000000000000001,0.2,1,0,0
MYDA05,0,0,0,0,0,0,0.5
MYDA08,0,0.3883495145631068,0,0,1.941747572815534,0.7766990291262136,1.5533980582524272
MYDA09,0,0.23076923076923078,0,0,0,0,0
MYDA10,0,0.19672131147540986,0,0,0,0,0
MYDA11,0,0,0,0,0.22641509433962262,0,0
MYDA13,0.5732484076433121,0,0,0.7643312101910827,6.496815286624203,1.1464968152866242,0
MYDA14,0,0,0,0,2.5531914893617023,0,0
MYDA15,0,0,0,0,0.967741935483871,0.3870967741935484,0
MYDA16,0,0.23076923076923078,0,0,1.6153846153846154,0,0
MYDA17,0,0,0,0,0.2,0,0
MYDA18,0,0.489795918367347,0,0,0,0,0
MYDA19,0.1941747572815534,0,0,0,0,0.1941747572815534,0
MYDA20,0,0,0,0,0.49180327868852464,0,0
MYDA21,0,0.4,0,0,1.4000000000000001,0.2,0
MYDA23,0,0,0,0,1,0,0
MYDA24,0,0,0,0,0.4,0,0.2
MYDA25,0,0.6451612903225805,0,0,0.2150537634408602,0,0.4301075268817204
MYDA27,0,0,0,0,0.25,0,0
MYDA28,0,0,0,0,0.2,0,0
MYDA32,0.4,0.2,0,0,1.2000000000000002,0.2,1.8
MYDA33,0,0,0,0,0.2,0,0
