ind,Acridotheres_fuscus,Buceros_bicornis,Corvus_macrorhynchos,Dendrocitta_leucogastra,Ducula_badia,Funambulus_sublineatus,Geokichla_citrina,Gracula_indica,Hypsipetes_ganeesa,Iole_indica,Irena_puella,Myophonus_horsfieldii,Ocyceros_griseus,Oriolus_kundoo,Psilopogon_viridis,Pycnonotus_jocosus ,Ratufa_indica,Rubigula_gularis,Semnopithecus_johnii,Sturnia_blythii,Turdus_simillimus
PEMA01,0,0,0,0,0,0,0,2.129032258064516,0,0,0.1935483870967742,0,0.3870967741935484,0,1.7419354838709677,0,0,0,0,0,0
PEMA02,0,0,0,0,0,0,0,2.5407166123778504,0.19543973941368079,0.39087947882736157,0,0,0.39087947882736157,0,1.3680781758957654,0,0,0,0,0,0
PEMA03,0,0,0,0,0,0,0,0.19047619047619047,0.7619047619047619,0,0,0,0,0,0,0,0.19047619047619047,0,0,0,0
PEMA04,0,0,0,0,0,0,0,0.8540925266903914,0,0,0,0,0.21352313167259784,0,0,0,0,0,0,0,0
PEMA05,0,0,0,0,0,0,0,6.867469879518072,0,0,0,0,0.18072289156626506,0,4.156626506024097,1.0843373493975903,0,0,0,0,1.0843373493975903
PEMA06,0,0,0,0,0,0,0,0.39473684210526316,0,0,0,0,0,0,3.947368421052632,1.7763157894736843,0,0,0,0,0
PEMA07,0,0,0,0,0,0,0,0.8130081300813008,0,0,0,0,0.3252032520325203,0,0.6504065040650406,0,0,0,0,0,0
PEMA08,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0.6000000000000001,0,3.8000000000000003,0,0,0,0,0,0
PEMA09,0,0,0,0.7868852459016394,0,0,1.9672131147540985,7.081967213114755,0,14.360655737704919,0.9836065573770493,0.5901639344262296,0.19672131147540986,3.1475409836065578,8.262295081967213,13.9672131147541,0,0.3934426229508197,0,4.327868852459017,1.377049180327869
PEMA10,0,0,0,0,0.96,0,0,3.5999999999999996,0,0.48,0.24,0,0,0,2.6399999999999997,0.48,0,0,0,0.24,0
PEMA11,0,0,0,0.1935483870967742,0,0,0.3870967741935484,0.1935483870967742,0,2.5161290322580645,0.1935483870967742,0,0,0,1.5483870967741935,0,0.3870967741935484,0,0,0,0
PEMA12,0,0,0,0,0,0,0,0.8727272727272728,0,1.9636363636363638,0.2181818181818182,0,0,0,1.9636363636363638,0,0.2181818181818182,0.2181818181818182,0,0,0
PEMA13,0,0,0,0,0,0,0,1.4000000000000001,0,12.200000000000001,0.2,0,0.4,0,0.2,0,0,0,0,0.2,0
PEMA14,0,0,0,0.9302325581395349,0.23255813953488372,0,0.23255813953488372,0.6976744186046512,0,10.930232558139535,0.9302325581395349,0,0.46511627906976744,0,2.558139534883721,14.651162790697674,0,3.255813953488372,0,1.3953488372093024,0
PEMA15,0,0,0,0,0,0,0.5901639344262296,2.754098360655738,0,45.63934426229509,0,0.3934426229508197,0.9836065573770493,0,5.704918032786886,0.19672131147540986,0,0.19672131147540986,0,0.19672131147540986,0
PEMA16,0,0,0,0.8695652173913044,0.5797101449275363,0,0,6.086956521739131,0,4.3478260869565215,2.608695652173913,0,0.5797101449275363,0,16.81159420289855,2.608695652173913,0,1.1594202898550725,0,11.594202898550725,0
PEMA17,0,0.1948051948051948,0,0,0,0,0,4.48051948051948,0.3896103896103896,0,0,0,0.5844155844155844,0,10.519480519480519,0.3896103896103896,0.3896103896103896,0,0,0,0
PEMA18,0,0,0,0,0,0.27906976744186046,0.27906976744186046,1.9534883720930232,0,0.8372093023255813,0,0.8372093023255813,0.27906976744186046,0,4.186046511627907,0,0.27906976744186046,0,0,0,0
PEMA19,0,0,0,0,0,0,0,1,2.25,2.5,0,0,0,0,0.25,1.5,0,0,2.5,0,0
PEMA20,0,0,0,0,0,0,0.19169329073482427,0,4.217252396166134,4.025559105431309,0.19169329073482427,0,0.19169329073482427,0,0.5750798722044728,0,0.5750798722044728,0,0,0,0
PEMA21,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
PEMA22,0,0,0,0,0,0,0.3921568627450981,2.9411764705882355,0,4.509803921568628,0,0.19607843137254904,0,0,0.7843137254901962,10.980392156862747,0,0,0,0.5882352941176472,0
PEMA23,0,0,0.7114624505928854,0,0,0.7114624505928854,0,4.2687747035573125,0,0.9486166007905138,0.7114624505928854,0.7114624505928854,0.4743083003952569,0,8.063241106719367,36.52173913043478,0.23715415019762845,0.4743083003952569,0,23.952569169960473,0
PEMA24,0,0,0,0,0,0,0.7086614173228346,3.3070866141732282,0,10.393700787401574,0,0.23622047244094488,0,0,9.921259842519685,2.8346456692913384,0,0,2.3622047244094486,0.9448818897637795,0
