ind,Piaya_cayana,Amazilia_sp,Euphonia_chlorotica,Euphonia_sp,Euphonia_violacea,Setophaga_pitiayumi,Ceratopipra_rubrocapilla,Dixiphia_pipra,Machaeropterus_regulus,Manacus_manacus,Chlorophanes_spiza,Coereba_flaveola,Dacnis_cayana,Lanio_cristatus,Ramphocelus_bresilius,Saltator_maximus,Tangara_brasiliensis,Tangara_cayana,Tangara_seledon,Tangara_velia,Trogon_viridis,Turdus_rufiventris
A,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
B,0,0,5,0,0,0,1,4,0,0,0,4,0,2,0,0,0,0,0,1,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
D,0,0,9,0,2,0,2,6,2,7,0,0,10,0,0,0,0,5,0,0,0,0
E,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,1,0,0,0,9,0,0,0,0,0,16,6,1,0,5,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
K,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
L,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
M,0,0,8,3,29,0,0,1,0,0,0,0,3,4,21,1,0,0,0,0,4,0
N,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0
O,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,3,1,0
R,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0
S,0,0,1,0,9,0,0,1,0,0,2,1,0,0,0,0,0,0,5,0,0,0
