ind,Pipreola_sp,Penelope_purpurascens,Baryphthengus_martii,Sciurus_granatensis,Rodentia_sp,Cephalopterus_penduliger,Ramphastos_sp,Pteroglossus_erythropygius,Aulacorhynchus_haematopygus
18-0001,0,0,0,0,0,0,0.2777777777777778,0.6111111111111112,0.6666666666666666
18-0008,0,0,0.05555555555555555,0.05555555555555555,0,0,0.1111111111111111,0.05555555555555555,0
18-0010,0,0,0.045454545454545456,0,0,0,0.09090909090909091,0.09090909090909091,0
18-0013,0,0,0.045454545454545456,0,0,0,0,0.36363636363636365,0.09090909090909091
18-0020,0,0,0,0,0,0,0.05,0,0
18-0021,0,0,0,0,0,0,0.0625,0,0.0625
18-0022,0,0,0.11538461538461539,0,0,0,0.6153846153846154,0.2692307692307692,0
18-0027,0,0,1.0625,0.0625,0,0,0,0,0
18-0035,0,0,0.2727272727272727,0,0,0,0,0,0
18-0053,0,0,0.15789473684210525,0,0,0,0.05263157894736842,0,0.631578947368421
18-0063,0,0,0,0.05555555555555555,0,0,0.1111111111111111,0.2222222222222222,0
18-0064,0,0,0.05555555555555555,0.05555555555555555,0,0,0.05555555555555555,0.05555555555555555,0
18-0065,0,0,0.2222222222222222,0.05555555555555555,0.05555555555555555,0,0.2222222222222222,0.3888888888888889,0.3333333333333333
18-0066,0,0,0.05555555555555555,0,0.3333333333333333,0,0.3333333333333333,0.2222222222222222,0.16666666666666666
18-0067,0,0,0.05555555555555555,0.05555555555555555,0,0,0,0.2222222222222222,0.05555555555555555
18-0069,0,0,0,0,0,0,0.05555555555555555,0.16666666666666666,0
18-0070,0,0,0.2,0.06666666666666667,0,0.03333333333333333,0.16666666666666666,0.1,0
18-0071,0.125,0,0.5,0,0,0.125,0.125,0.625,0.375
18-0072,0,0,0,0,0,0.045454545454545456,0.045454545454545456,0.22727272727272727,0
18-0073,0,0,0.029411764705882353,0,0,0,0,0.17647058823529413,0.029411764705882353
18-0074,0,0,0.10810810810810811,0,0,0,0.21621621621621623,0.16216216216216217,0
18-0089,0,0,0.27906976744186046,0,0.046511627906976744,0,0.32558139534883723,0.3488372093023256,0
18-0103,0,0,0.26,0.02,0,0,0.1,0,0.02
18-0104,0,0,0.5,0,0,0,0.125,0.25,0.625
18-0105,0,0,0.02857142857142857,0.02857142857142857,0,0,0.02857142857142857,0,0
18-0106,0,0,0.045454545454545456,0,0,0,0.045454545454545456,0,0
18-0113,0,0,0,0,0,0,0.045454545454545456,0,0
18-0131,0,0,0.09090909090909091,0,0,0.045454545454545456,0,0,0
18-0136,0,0,0.2727272727272727,0,0.5,0,0,0.09090909090909091,0
18-0247,0,0.02,0.24,0,0,0.02,0.24,0.86,0
18-0248,0,0,0.03333333333333333,0,0,0,0.16666666666666666,0.03333333333333333,0
