ind,height_cm,d1_cm,d2_cm,crop,x,y,se_cam_days
A01,97,225,218,212,-6.445667,36.969922,93.17
A02,170,305,310,2605,-6.445671,36.970016,208.63
A03,134,236,240,1935,-6.445896,36.97007,56.41
A04,158,243,233,2345,-6.446042,36.969929,82.69
A05,118,403,387,2160,-6.445564,36.969681,298.15
A06,68,136,147,637,-6.445386,36.969572,180.4
A07,72,147,130,610,-6.445319,36.969339,147.85
A08,97,225,220,1450,-6.445277,36.969465,207.07
A09,95,176,175,2280,-6.445597,36.969022,173.02
A10,109,267,350,5915,-6.445857,36.969014,96.65
A11,100,222,218,2155,-6.446087,36.969275,253.56
A12,85,170,156,1250,-6.445874,36.969416,149.14
A13,96,187,171,4210,-6.446306,36.9695,128.15
A14,150,340,366,5775,-6.446615,36.96984,119.63
A15,130,309,347,9250,-6.446633,36.970056,114.04
A16,99,133,138,116,-6.446381,36.968972,61.73
A17,108,249,248,2565,-6.446337,36.968644,227.57
A18,113,332,305,7870,-6.447037,36.968316,106.69
A19,58,112,110,727,-6.447032,36.968581,112.5
A20,82,130,118,1350,-6.446839,36.968817,57.92
A21,102,324,240,13690,-6.446959,36.969701,240.23
A22,118,283,305,1359,-6.446944,36.969153,126.07
A23,105,264,270,2540,-6.44712,36.969135,97.94
A24,104,235,245,2240,-6.447337,36.968901,123.51
