ind,Alectoris_rufa,Cyanopica_cooki,Meles_meles,Oryctolagus_cuniculus,Sus_scrofa,Vulpes_vulpes,Bos_taurus,Lanius_senator,Turdus_merula,Lepus_granatensis,Sturnus_unicolor,Saxicola_rubicola,Dama_dama,Galerida_cristata,Muscicapa_striata
A01,0.3005259203606311,0.07513148009015777,0.010733068584308253,0.021466137168616506,0.06439841150584952,0.010733068584308253,0,0,0,0,0,0,0,0,0
A02,0.0527249197143268,0.09586349038968509,0,0,0.04793174519484254,0,0.004793174519484254,0.004793174519484254,0.004793174519484254,0,0,0,0,0,0
A03,0.5140932458783903,0,0,0,0.19500088636766533,0,0,0,0,0,0,0,0,0,0
A04,0.04837344297980409,0.16930705042931432,0,0,0.024186721489902044,0.012093360744951022,0,0,0.012093360744951022,0,0,0,0,0,0
A05,0.11739057521381856,0.01006204930404159,0,0.01006204930404159,0.01006204930404159,0,0.0033540164346805303,0,0,0.006708032869361061,0.1677008217340265,0,0,0,0
A06,0.16075388026607537,0.03325942350332594,0,0.005543237250554323,0.01662971175166297,0,0,0,0,0,0.11086474501108647,0.011086474501108647,0,0,0
A07,0.3246533648968549,0.006763611768684478,0.006763611768684478,0.047345282380791345,0.07439972945552925,0,0,0,0,0,0,0.013527223537368956,0,0,0
A08,0.10141498044139663,0.014487854348770948,0,0.019317139131694597,0.004829284782923649,0,0.004829284782923649,0,0,0,0,0,0,0,0
A09,0.24274650329441683,0.017339035949601202,0,0.02311871459946827,0.07513582244827187,0,0.005779678649867067,0,0.011559357299734134,0,0,0,0,0,0
A10,0.020693222969477496,0,0,0.031039834454216243,0.18623900672529745,0,0,0,0.010346611484738748,0,0,0.010346611484738748,0.010346611484738748,0,0
A11,0.07098911500236631,0.051269916390597886,0.003943839722353683,0.023663038334122102,0.039438397223536835,0,0.011831519167061051,0,0,0,0,0.011831519167061051,0,0,0
A12,0.37548612042376295,0.020115327879844443,0,0.020115327879844443,0.026820437173125926,0,0,0,0,0,0,0.0067051092932814815,0,0,0
A13,0.2262973078423722,0.17167381974248927,0,0.14046039797112758,0.2731174404994147,0,0,0,0,0.007803355442840421,0.11705033164260631,0,0,0.015606710885680842,0
A14,0.07523196522611385,0,0,0.016718214494691967,0.2006185739363036,0,0,0,0.016718214494691967,0,0,0,0,0,0
A15,0.07015082427218519,0.07015082427218519,0.008768853034023149,0.026306559102069447,0.3595229743949491,0,0,0,0,0.017537706068046298,0,0,0,0,0
A16,0.12959663048760733,0,0.016199578810950917,0.032399157621901833,0.06479831524380367,0,0,0,0,0,0,0,0,0,0
A17,0.2285011205343411,0.03954827086171288,0,0.10106780331326624,0.02636551390780859,0,0,0,0,0,0,0.013182756953904294,0.0043942523179680976,0,0
A18,0.1405942450089043,0,0,0.02811884900178086,0.02811884900178086,0,0,0,0,0,0,0,0,0,0
A19,0.017777777777777778,0.008888888888888889,0,0.035555555555555556,0.07111111111111111,0,0,0,0,0,0,0.008888888888888889,0,0,0
A20,0.06906077348066299,0.17265193370165746,0,0.06906077348066299,0.017265193370165747,0,0,0,0,0,0,0.017265193370165747,0,0,0
A21,0.0707655163801357,0.10406693585314074,0,0.02913874203887941,0.11655496815551764,0,0.00416267743412563,0,0.02913874203887941,0.00416267743412563,0,0,0,0,0.00416267743412563
A22,0.07138891092250338,0.08725311334972635,0,0.02379630364083446,0.15864202427222973,0,0,0,0,0,0.02379630364083446,0,0,0,0
A23,0.08168266285480907,0.0612619971411068,0,0,0.22462732285072493,0,0,0,0.010210332856851134,0,0,0,0,0,0
A24,0.032386041616063475,0.08096510404015869,0,0.09715812484819042,0.06477208323212695,0,0,0,0,0,0,0,0.024289531212047605,0,0
