ind,Pycnonotus_cafer,Pycnonotus_luteolus,Pycnonotus_jocosus,Leptocoma_zeylonica,Dicaeum_erythrorhynchos,Pycnonotus_xantholaemus,Turdoides_affinis,Merops_orientalis,Orthotomus_sutorius,Lonchura_punctulata,Aegithina_tiphia
BURD01,8.5,0,0,0,0,0,0,0,0,0,0
BURD02,2.6666666666666665,0,0,0,0,0,0,0,0,0,0
BURD03,0,2.727272727272727,0.45454545454545453,0,0,0,0,0,0,0,0
BURD04,0,5,3.8888888888888893,0,0,0,0,0,0,0,0
BURD05,0,3.5,7,1,0,0,0,0,0,0,0
BURD06,0,1,1,0.5,0.5,0,0,0,0,0,0
BURD07,0,0.45454545454545453,0,0,0,0,0,0,0,0,0
BURD08,0,0.45454545454545453,0,0,0,0,0,0,0,0,0
BURD09,0,1.6666666666666667,6.111111111111112,2.2222222222222223,1.6666666666666667,1.6666666666666667,3.333333333333333,0.5555555555555556,1.1111111111111112,0,0
BURD10,0.5,0,1,1.5,0,1,4,0,0,2.5,0
BURD11,0.5,3.5,1.5,0,0,0,0,0,0,0,0
BURD12,0,0.5,0,0,0,0,0,0,0,0,0
BURD13,0,0.5,1,0,0,0,0,0,0,0,0
BURD14,3.5,3,2,0.5,1.5,0,0,0,0.5,0,0.5
BURD15,0,0,1,0,0,0,0,0,0,0,0
