ind,Pycnonotus_luteolus,Dicaeum_erythrorhynchos,Pycnonotus_cafer,Leptocoma_zeylonica,Saxicoloides_fulicatus,Megalaima_haemacephala
ERYM01,1.5,0.5,0,0,0,0
ERYM02,1.7647058823529411,0,2.3529411764705883,0,0,0
ERYM04,0,0.5,2,0,0,0
ERYM05,0.5,0,0,0,0,0
ERYM07,0.5,1,0,0,0,0
ERYM09,2.5,1.5,1,1,0,0
ERYM10,1.5,0,0.5,0.5,0.5,0
ERYM11,0,1.5,0,0,0,0
ERYM12,0,1.1111111111111112,0.5555555555555556,0,1.6666666666666667,1.1111111111111112
ERYM13,0,1,0,0,0,0
ERYM14,0,1.3636363636363635,0,2.2727272727272725,0,0
ERYM15,0.5,0.5,1,0.5,0,0
