ind,Pycnonotus_luteolus,Pycnonotus_cafer,Orthotomus_sutorius,Dicaeum_erythrorhynchos,Aegithina_tiphia,Turdoides_affinis,Pycnonotus_jocosus,Cinnyris_asiaticus,Leptocoma_zeylonica,Eudynamys_scolopaceus
SANA01,1.5,1,0,0,0,0,0,0,0,0
SANA02,3.5,1,1.5,1,0.5,2,1,0,0,0
SANA03,0.5,1.5,0,1,0,0,0,0.5,0,0
SANA04,0,0.5,0,0,0,0,0,0,0,0
SANA05,0,0.5,0,0,0,0,0,0,0,0
SANA06,0,0.5,0,0,0,0,0,0,0,0
SANA07,2,2.5,0,0,0,0,0,0,0,0
SANA09,1.5,1,0,0.5,0,0,0,0,0,0
SANA10,1.5,0,0,1.5,0,0,0,0,0,0
SANA11,1,0.5,0,0.5,0,0,0,0,0,0
SANA12,0.5,1.5,0,1.5,0,0,0,0,0,0
SANA13,1.5,1,0,0.5,0,0,0,0,0.5,0
SANA14,0.5,0,0,1,0,0,0,0,0,0.5
SANA15,0,0,0.5,0,0,0,0,0,0.5,0
