ind;n_inf;canopy_cover_m2;crop;nearest_neigh;neigh_density_intra;neigh_radio;fruit_type;fruit_color;se_obs_days
CHU0108;33;3.97411135;5148;14.391;3;42;drupe;brown;12
CHU0111;53;4.28827035;5830;19.298;1;42;drupe;brown;12
CHU096M;23;2.536833925;4140;6.159;7;42;drupe;brown;12
CHU100;46;4.425714913;4830;17.679;2;42;drupe;brown;12
CHU105M;34;3.62853645;1530;24.491;1;42;drupe;brown;12
CHU114M;19;2.002763625;3477;14.69;2;42;drupe;brown;12
EM001H;10;3.2986695;650;22.738;1;42;drupe;brown;12
EM003H;43;3.337939375;5934;47.773;1;42;drupe;brown;12
EM007;62;4.123336875;13268;14.89;4;42;drupe;brown;12
EM008;17;7.9482227;1904;4.721;4;42;drupe;brown;12
EM009;27;3.432187075;2727;11.87;6;42;drupe;brown;12
EM013;33;7.2570729;10329;0.01;4;42;drupe;brown;12
EM028;94;7.516254075;19458;15.374;2;42;drupe;brown;12
EM031;6;5.599884175;642;48.404;1;42;drupe;brown;12
EM044;24;6.997891725;3600;45.261;1;42;drupe;brown;12
EM054;19;2.536833925;2280;10.635;2;42;drupe;brown;12
EM060;23;2.536833925;1242;10.635;3;42;drupe;brown;12
EM062B;8;2.4504402;2640;10.56;4;42;drupe;brown;12
EM066H;11;2.40331635;1408;6.56;3;42;drupe;brown;12
EM083H;28;4.712385;280;1.418;3;42;drupe;brown;12
EM090H;4;0.51836235;372;3.756;3;42;drupe;brown;12
EM097H;7;7.46127625;616;25.102;1;42;drupe;brown;12
EM117H;27;1.9792017;9153;25.102;1;42;drupe;brown;12
EM123H;8;4.877318475;1464;34.049;1;42;drupe;brown;12
EM128;18;6.149662425;4680;2.672;7;42;drupe;brown;12
EM133;118;5.772671625;29028;1.777;12;42;drupe;brown;12
EM136;21;5.3092871;3864;10.361;2;42;drupe;brown;12
EM138;10;4.7752168;1600;2.098;10;42;drupe;brown;12
EM142;13;2.08915735;884;2.85;11;42;drupe;brown;12
EM155;148;11.27045413;19684;6.726;3;42;drupe;brown;12
EM160;47;4.877318475;5123;6.273;2;42;drupe;brown;12
EM163;7;8.46658505;924;7.733;6;42;drupe;brown;12
EM171;20;2.0106176;3840;8.993;7;42;drupe;brown;12
EM190;39;5.654862;5655;8.993;8;42;drupe;brown;12
EM193;52;8.482293;13728;22.744;1;42;drupe;brown;12
EM199;4;7.20994905;808;18.993;1;42;drupe;brown;12
EM227;10;4.908734375;520;8.812;2;42;drupe;brown;12
EM234;32;3.53428875;5856;1.53;9;42;drupe;brown;12
EM236;15;1.767144375;1650;2.924;12;42;drupe;brown;12
EM240;86;9.5504336;25800;1.933;8;42;drupe;brown;12
EM270;9;2.267835281;2133;0.626;10;42;drupe;brown;12
EM291H;39;2.96880255;2769;7.9;8;42;drupe;brown;12
EM293;6;1.42942345;282;5.56;4;42;drupe;brown;12
EM297H;29;2.5761038;4640;8.095;3;42;drupe;brown;12
EM298H;87;6.36171975;18183;3.498;8;42;drupe;brown;12
EM300H;18;5.8433574;1764;9.011;3;42;drupe;brown;12
