ind;Cervus_elaphus;Sus_scrofa;Oryctolagus_cuniculus;Rattus_sp;Vulpes_vulpes;Meles_meles
ER002H;0.167;0.083;0.083;0;0;0
ER007H;0.333;0.167;0.167;0;0;0.083
ER028H;0.083;0;0;0;0.083;0
ER033H;0.25;0;0;0;0.083;0
ER036H;1;0.167;0;0;0;0.083
ER037H;0;0.167;0;0.167;0;0
ER044H;0.333;0.083;0;0.083;0;0
ER045H;0.833;0.083;0;0;0;0
ER047H;0.167;0.083;0;0;0;0
ER050H;0.167;0.083;0;0;0;0
ER052X;0.28;0.014;0.014;0.014;0.014;0.014
ER053H;0.083;0;0;0;0;0
ER061H;0.833;0;0;0;0;0.167
ER067H;0.5;0;0.25;0;0.167;0.25
ER070H;0.333;0;0.75;0;0.167;0
ER071M-H;0.228;0.028;0.028;0.028;0.028;0.028
ER072H;0.363;0.014;0.014;0.014;0.014;0.014
ER073H;0.863;0.014;0.014;0.014;0.014;0.014
ER074M-H;0.583;0;0;0;0;0
ER079H;0.917;0.167;0.833;0;0;0.167
ER080H;0.917;0.417;1;0.083;0;0.25
ER085H;0.417;0;0;0;0;0
ER086H;0.333;0;0;0;0;0
ER090H;0.75;0;0.083;0;0;0
