ind;height_cm;trunk_diam;canopy_vol;crop;neigh_density_intra;neigh_fecundity_intra;seed_viability;neigh_radio;fruit_type;fruit_color;se_obs_h
Mi1;190;9.13;1.694;1088;1;48.5;2;25;berry;purplish-black;16
Mi3;185;7.4;1.114;837;4;19.5;4.7;25;berry;purplish-black;16
Mi4;211;15.7;2.14;1086;7;92;8;25;berry;purplish-black;16
Mi5;262;14.6;5.729;4043;0;189;3.5;25;berry;purplish-black;16
Mi6;262;11.2;2.019;2227;6;36.5;5.1;25;berry;purplish-black;16
Mi7;230;9.9;1.448;1644;0;70.5;8.5;25;berry;purplish-black;16
Mi8;222;13;2.82;3368;1;21.3;4.9;25;berry;purplish-black;16
Mi10;210;8.3;1.872;3640;0;58.3;6.7;25;berry;purplish-black;16
Mi12;152;7.3;0.212;494;2;22;6.8;25;berry;purplish-black;16
Mi14;231;12.1;2.284;1839;4;78.5;6.8;25;berry;purplish-black;16
Mi17;260;18;7.764;2812;5;91;5.3;25;berry;purplish-black;16
Mi18;319;30;8.443;3543;1;73.5;3.5;25;berry;purplish-black;16
Mi20;252;13.5;3.507;3900;3;94.8;2.5;25;berry;purplish-black;16
Mi21;149;12;0.734;463;0;20;2.7;25;berry;purplish-black;16
Mi23;112;6;0.29;876;2;61;8.1;25;berry;purplish-black;16
