ind;Elaenia_cristata;Elaenia_chiriquensis;Elaenia_obscura;Camptostoma_obsoletum;Schistochlamys_ruficapillus;Saltatricula_atricollis;Tangara_cayana;Mimus_saturninus;Zonotrichia_capensis
Mi1;7.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00
Mi3;4.00;0.00;0.00;3.00;2.00;0.00;0.00;1.00;0.00
Mi4;11.10;5.00;0.00;2.00;1.00;0.00;0.00;2.00;0.00
Mi5;33.40;0.00;0.00;0.00;10.10;0.00;0.00;0.00;5.10
Mi6;10.10;6.00;0.00;3.00;6.00;3.00;4.00;1.00;8.10
Mi7;2.00;3.00;0.00;4.00;0.00;0.00;0.00;0.00;3.00
Mi8;6.00;0.00;0.00;0.00;0.00;5.00;3.00;2.00;1.00
Mi10;9.10;0.00;0.00;5.10;4.00;7.10;0.00;13.20;4.00
Mi12;4.00;0.00;0.00;3.00;3.00;0.00;0.00;0.00;0.00
Mi14;32.90;2.00;1.00;0.00;12.00;0.00;0.00;0.00;2.00
Mi17;8.20;3.10;0.00;1.00;9.20;0.00;5.10;5.10;0.00
Mi18;8.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00
Mi20;15.00;0.00;0.00;0.00;54.00;0.00;0.00;0.00;0.00
Mi21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.10;1.00
Mi23;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
