ind,crop_y2,d1_cm,d2_cm,x,y,fruit_d1_mm,fruit_d2_mm,fruit_d1_sd,fruit_d2_sd,se_cam_days_21_22,se_cam_days_22_23,se_cam_days,fruit_type,fruit_color,seeds_per_fruit
Jmac001,4815,440.00000000000006,375,-6.403808,36.829227,13.911,12.953666666666667,1.598446120455738,1.4486223737086195,151.8861111111255,58.34027777778101,210.2263888889065,cone,brown,1-4
Jmac002,2925,260,274,-6.403984,36.829417,14.739666666666666,13.604333333333333,1.1038068400901877,0.8320132763087515,108.53750000000582,69.1652777777781,177.70277777778392,cone,brown,1-4
Jmac003,8955,387,660,-6.403708,36.829676,15.292666666666667,14.169666666666666,1.4082366898759044,1.0451282162996784,84.7027777777621,83.33472222221462,168.03749999997672,cone,brown,1-4
Jmac004,8925,1073,1135,-6.403967,36.830325,15.442333333333334,14.32,1.4388421670249991,1.0795816558853422,109.39999999999418,97.9312499999869,207.33124999998108,cone,brown,1-4
Jmac006,789,262,300,-6.404174,36.830623,12.963,12.185666666666666,1.0410013415473816,1.0267648669262222,165.91666666667152,37.076388888890506,202.99305555556202,cone,brown,1-4
Jmac007,2340,295,300,-6.40403,36.829725,14.906333333333333,13.185666666666666,1.6565054270617583,1.6523602415381735,165.90555555556057,97.94930555556493,263.8548611111255,cone,brown,1-4
Jmac009,7950,484.99999999999994,347,-6.402654,36.82879,15.161333333333333,13.661333333333333,1.706275907133535,1.4715549677088198,140.38194444443798,98.02569444444089,238.40763888887886,cone,brown,1-4
Jmac011,91800,1550,1050,-6.402259,36.828424,13.629333333333333,12.677666666666667,0.8834959295159567,0.8116296222281199,163.82569444445107,37.13333333333139,200.95902777778247,cone,brown,1-4
Jmac012,4950,473.00000000000006,526,-6.402889,36.828628,13.472666666666667,12.752666666666666,0.9563722162902654,0.7821232521854823,164.25486111110513,98.07430555555766,262.3291666666628,cone,brown,1-4
Jmac014,7275,526,492,-6.403102,36.828467,12.477,11.638666666666667,0.9338025708785076,1.0208574264105008,NA,98.06388888889342,98.06388888889342,cone,brown,1-4
Jmac015,5280,340,520,-6.403548,36.829027,14.785,13.989,1.4506354136888688,1.133941402122824,NA,68.43055555555475,68.43055555555475,cone,brown,1-4
Jmac016,1770,405,376,-6.40406,36.828234,14.996666666666666,13.667,1.7178602033229944,1.5816232386271762,NA,88.23333333332994,88.23333333332994,cone,brown,1-4
Jmac017,1305,362,298,-6.403805,36.828312,15.112,14.137,1.5681141759978823,1.4976721016757746,NA,64.0708333333314,64.0708333333314,cone,brown,1-4
Jmac018,6540,343,509,-6.403483,36.828203,12.47,11.655666666666667,1.1100295118785715,1.3193302463184018,NA,79.22013888888614,79.22013888888614,cone,brown,1-4
Jmac019,3795,370,404,-6.40324,36.828303,13.403,12.594666666666667,1.3437624738795533,1.2730596684917128,NA,30.669444444443798,30.669444444443798,cone,brown,1-4
Jmac020,870,328,325,-6.403129,36.828515,13.381,12.596333333333334,1.49747684341085,1.3508375009685614,NA,41.22986111111095,41.22986111111095,cone,brown,1-4
Jmac021,8850,605,505.99999999999994,-6.402605,36.828975,12.958333333333334,12.066,0.9733840130090536,0.6802920265439764,NA,49.92708333332848,49.92708333332848,cone,brown,1-4
Jmac022,1575,465.00000000000006,380,-6.402356,36.828383,13.451,12.602,1.524743845078067,1.464648716269183,NA,98.02638888889487,98.02638888889487,cone,brown,1-4
Jmac023,2835,304,340,-6.403889,36.829375,13.445,12.096333333333334,1.318551321036423,1.0059323461632352,NA,82.91805555555038,82.91805555555038,cone,brown,1-4
Jmac024,12075,590,602,-6.403635,36.830234,12.834666666666667,11.851666666666667,1.1774072430947393,1.0069691065813267,NA,53.415277777770825,53.415277777770825,cone,brown,1-4
Jmac025,2730,373,385,-6.404557,36.830019,14.396666666666667,13.013666666666667,1.3661961623511423,1.4022555311756284,NA,53.05624999999418,53.05624999999418,cone,brown,1-4
Jmac026,1785,296,322,-6.404463,36.829852,13.886,13.141333333333334,1.9185421908133877,1.5848914535513874,NA,93.67013888888323,93.67013888888323,cone,brown,1-4
Jmac027,344,320,223,-6.4043,36.829276,13.218333333333334,12.318666666666667,1.2138115610534967,1.2115072781694176,NA,97.83125000001019,97.83125000001019,cone,brown,1-4
Jmac028,2130,750,466,-6.40417,36.828787,13.418,12.576,1.589268753991531,1.4780173112699977,NA,98.0090277777781,98.0090277777781,cone,brown,1-4
Jmac029,4500,327,611,-6.404116,36.828874,13.986333333333333,12.394333333333334,1.1085326845175465,0.871616347638836,NA,36.08541666666133,36.08541666666133,cone,brown,1-4
