ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus
T61,8,0,0,1,0,0,0,0,0
T62,5,13,0,0,0,0,1,0,0
T63,4,1,0,9,0,0,1,2,0
T64,4,1,0,44,0,0,0,0,0
T65,40,20,0,2,0,0,0,0,0
T66,7,4,0,8,0,0,0,0,0
T68,1,0,0,31,0,0,0,0,0
T72,4,1,0,86,1,0,0,0,0
T73,13,0,0,2,0,1,0,0,0
T74,21,12,2,50,0,0,2,0,0
T75,7,0,0,58,0,0,0,0,0
T76,0,0,0,7,0,0,0,0,0
T77,0,0,0,0,13,0,0,0,0
T78,1,0,0,0,9,1,0,0,0
T79,1,3,0,5,8,0,0,1,0
T80,0,0,0,27,0,3,0,0,15
T81,12,1,0,0,0,0,0,0,1
T82,5,0,0,0,2,0,0,0,0
T83,0,0,0,0,0,0,0,0,1
T84,4,2,0,0,0,0,0,1,0
T85,1,2,0,3,0,0,0,0,0
T86,20,0,0,10,0,0,0,0,0
T87,6,0,1,0,0,0,0,0,0
T88,11,3,0,0,2,1,0,0,0
T89,0,0,0,0,0,0,0,0,4
T90,13,0,0,34,1,0,0,0,0
