ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus
T91,0,0,0,0,29,1,0,0,0,0
T92,11,10,0,0,0,0,0,0,0,0
T93,7,4,0,1,0,0,0,0,0,0
T94,0,22,0,0,0,0,0,0,0,0
T95,0,0,0,0,0,0,1,0,0,0
T96,15,2,0,4,0,0,1,0,4,0
T97,0,2,0,0,0,0,6,0,0,0
T98,0,11,0,0,0,0,0,0,0,0
T99,0,14,0,50,0,0,2,0,3,0
T100,25,12,0,55,0,0,0,0,0,0
T101,30,21,0,6,0,0,2,0,0,0
T102,15,5,0,48,0,0,0,1,0,0
T103,0,23,0,0,0,0,0,0,0,0
T105,33,20,0,7,0,0,0,0,0,12
T106,20,10,0,43,0,0,1,0,1,0
T107,27,3,0,88,0,0,0,0,0,0
T108,7,4,0,1,0,0,0,0,0,0
T109,16,21,0,7,0,0,0,0,0,1
T110,6,16,0,9,0,0,1,0,0,0
T111,7,5,0,0,0,12,6,0,0,12
T112,11,0,0,3,0,0,2,0,0,0
T113,0,0,0,14,0,0,0,0,0,0
T114,12,2,0,15,0,0,2,0,0,0
T115,1,0,0,3,0,0,1,0,0,0
T116,6,3,3,0,0,0,0,0,0,0
T117,18,0,0,12,0,0,0,0,0,0
T118,9,3,0,26,0,0,0,0,0,3
T120,6,13,0,4,0,0,0,0,0,0
