ind,Graomys_griseoflavus,Akodon_dolores,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Bos_taurus,Equus_caballus
T1,0,0,1,0,0,0,0,0,9,8
T2,0,0,3,0,0,0,0,0,0,0
T3,0,0,0,0,1,0,0,0,9,8
T4,1,0,0,0,0,0,0,1,1,0
T5,2,0,7,0,0,0,0,0,0,0
T6,0,0,13,0,0,0,0,0,0,0
T7,2,0,0,0,0,0,0,0,0,0
T8,4,0,0,0,1,0,0,0,3,0
T9,0,0,10,0,2,0,0,0,0,0
T10,0,1,0,0,0,0,0,0,4,14
T11,0,0,5,0,0,0,1,0,0,0
T12,0,0,0,0,0,1,1,0,0,0
T13,0,0,2,2,0,0,0,0,6,0
T14,0,0,36,0,0,0,0,0,0,0
T15,0,0,5,0,1,0,0,0,14,0
T16,0,0,0,0,0,0,0,0,4,0
T17,0,0,21,0,0,0,0,0,0,8
T18,1,0,11,0,1,0,0,0,0,0
T20,8,0,55,0,0,0,0,0,0,0
T21,21,0,1,0,0,0,0,0,0,0
T22,0,0,25,0,1,0,0,0,0,0
T23,0,0,21,0,1,0,0,0,0,0
T24,0,0,0,0,0,0,0,0,4,0
T25,0,0,5,0,0,0,0,0,7,0
T26,1,0,3,0,8,0,0,0,0,0
T28,1,0,5,2,0,0,0,0,1,0
T29,4,0,0,0,0,0,0,0,16,0
T30,14,0,21,0,0,0,0,0,0,0
T31,2,0,10,0,0,0,2,0,0,0
T32,0,0,0,0,2,0,0,0,0,8
T33,0,0,38,0,0,0,1,0,0,0
T34,15,0,0,0,0,0,2,0,0,0
T35,1,0,0,0,0,0,0,0,0,0
T37,9,0,23,0,0,0,0,0,0,0
T38,0,0,0,0,1,0,0,0,0,0
T39,0,0,24,0,1,0,0,0,1,0
T40,0,0,0,0,4,0,0,0,0,0
T41,11,0,18,0,1,0,0,0,0,0
T42,10,0,0,0,0,0,0,0,1,0
T43,0,0,0,0,1,0,0,0,3,0
T44,0,0,0,1,0,0,0,0,9,0
T45,0,0,0,0,0,0,0,0,2,0
T46,1,0,0,0,0,0,0,0,0,0
T47,6,0,0,0,0,0,0,0,0,0
T48,3,0,16,0,0,0,0,0,0,0
T50,16,0,50,0,0,0,0,0,0,0
T52,1,0,57,0,0,0,0,0,7,0
T53,2,0,41,0,1,0,0,0,0,0
T55,2,0,13,0,0,0,0,0,0,0
T56,0,0,0,18,2,0,0,0,0,0
T57,1,0,0,0,8,0,0,0,0,0
T58,0,0,3,7,0,0,0,0,0,0
T59,0,0,8,0,8,0,0,0,0,0
T60,0,0,69,0,2,0,0,0,0,0
