ind,height_cm,neigh_density_intra,canopy_cover_m2,x,y,neigh_density_inter,neigh_radio,crop,n_seeds,fruit_type,fruit_color,se_cam_h
T61,550,0,0.92,594814,6234194,8,10,36,10-18,pod,yellow,48
T62,300,1,0.88,594441,6234173,6,10,4,10-18,pod,yellow,48
T63,300,3,1.36,594116,6234207,4,10,7,10-18,pod,yellow,48
T64,300,5,1.16,593629,6234198,3,10,10,10-18,pod,yellow,48
T65,300,0,1.28,593086,6234193,13,10,5,10-18,pod,yellow,48
T66,500,3,1.04,591450,6234222,5,10,16,10-18,pod,yellow,48
T67,500,1,1.2,590935,6234241,6,10,3,10-18,pod,yellow,48
T68,400,2,0.76,590417,6234246,6,10,5,10-18,pod,yellow,48
T69,400,0,0.8,589447,6234227,8,10,3,10-18,pod,yellow,48
T70,400,2,1.2,588727,6234235,5,10,5,10-18,pod,yellow,48
T71,500,1,1.12,588177,6234249,5,10,0,10-18,pod,yellow,48
T72,500,1,0.76,587385,6234281,6,10,0,10-18,pod,yellow,48
T73,500,3,0.8,586409,6234284,3,10,0,10-18,pod,yellow,48
T74,500,1,1.16,585764,6234287,8,10,15,10-18,pod,yellow,48
T75,500,3,1.04,584933,6234307,3,10,188,10-18,pod,yellow,48
T76,400,8,0.92,594283,6232260,4,10,90,10-18,pod,yellow,48
T77,400,1,0.64,593842,6232236,8,10,100,10-18,pod,yellow,48
T78,450,1,0.96,593222,6232236,8,10,18,10-18,pod,yellow,48
T79,450,1,0.88,592750,6232268,6,10,32,10-18,pod,yellow,48
T80,450,0,0.16,592230,6232254,13,10,274,10-18,pod,yellow,48
T81,450,2,0.84,591656,6232254,6,10,73,10-18,pod,yellow,48
T82,450,0,0.64,591121,6232250,9,10,60,10-18,pod,yellow,48
T83,450,0,0.68,590707,6232251,7,10,110,10-18,pod,yellow,48
T84,450,6,1.2,589588,6232250,2,10,0,10-18,pod,yellow,48
T85,400,0,1.12,588796,6232243,5,10,10,10-18,pod,yellow,48
T86,400,0,0.96,588370,6232249,11,10,30,10-18,pod,yellow,48
T87,550,1,0.96,587963,6232232,6,10,33,10-18,pod,yellow,48
T88,550,0,1,587211,6232241,7,10,28,10-18,pod,yellow,48
T89,550,1,1.04,586431,6232231,5,10,115,10-18,pod,yellow,48
T90,450,5,0.84,586113,6232330,3,10,0,10-18,pod,yellow,48
