ind,Graomys_griseoflavus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens,Ctenomys_mendocinus
T121,3,1,1,0,0,0,0,0
T122,0,0,0,1,0,0,0,2
T124,0,2,0,1,0,1,0,0
T125,2,0,0,0,0,0,0,0
T127,1,0,0,0,0,1,0,0
T128,10,2,0,0,0,0,0,0
T129,3,0,0,1,0,0,0,0
T130,0,3,0,0,0,0,0,0
T132,1,0,0,0,0,0,0,0
T133,5,0,2,0,0,0,0,0
T134,8,0,0,0,0,0,1,0
T135,0,0,0,1,0,0,0,0
T136,3,0,0,0,0,0,0,0
T137,1,7,0,0,0,0,0,0
T138,0,18,0,0,0,0,0,0
T139,2,24,0,0,0,0,0,0
T140,20,0,0,0,0,0,0,0
T141,0,51,0,0,0,0,0,0
T142,11,0,0,0,1,0,0,0
T143,18,17,0,0,0,0,0,0
T144,25,0,0,0,0,0,0,0
T145,3,19,0,0,0,0,0,0
T146,21,13,0,0,0,0,0,0
T148,4,19,0,1,0,1,0,0
T149,8,2,0,0,0,0,0,0
T151,0,48,0,0,0,1,0,0
T152,0,1,0,0,0,0,0,0
T153,17,0,0,0,0,0,0,0
T154,14,5,0,0,0,0,0,0
T155,0,0,0,2,0,0,0,0
T156,19,0,0,0,0,0,0,0
T157,3,9,0,0,0,0,0,0
T158,0,2,0,4,0,0,0,0
T159,0,0,7,0,0,0,0,0
T160,9,1,0,0,0,1,0,0
