ind,Graomys_griseoflavus,Akodon_dolores,Calomys_musculinus,Microcavia_australis,Dolichotis_patagonum,Lycalopex_griseus,Conepatus_chinga,Chaetophractus_vellerosus,Tupinambis_rufescens
T161,27,5,0,32,0,0,0,0,0
T162,29,35,2,65,0,0,0,0,0
T163,56,48,0,33,0,0,0,0,0
T164,28,29,0,32,0,0,0,0,0
T165,22,10,0,67,0,0,0,0,0
T166,26,22,0,75,0,0,0,0,0
T167,19,11,0,49,0,0,0,0,1
T168,15,8,0,74,0,0,0,1,0
T169,6,0,0,26,0,0,0,0,0
T170,37,53,1,55,0,0,0,0,0
T171,38,29,0,35,0,0,1,0,0
T172,20,18,3,58,0,0,0,1,0
T173,31,74,0,16,0,0,0,0,0
T174,90,27,0,80,0,0,0,0,0
T175,28,24,0,44,0,2,0,0,0
T176,34,16,0,42,0,0,1,0,0
T177,5,0,0,20,0,3,1,0,0
T178,68,40,3,60,0,0,0,0,0
T179,151,24,6,51,0,0,0,0,1
T180,3,5,0,14,0,0,0,0,0
T181,51,24,2,132,0,0,0,0,0
T182,6,8,0,1,0,0,0,0,0
T183,16,1,0,6,0,0,0,0,0
T184,27,16,0,25,0,0,0,0,0
T185,47,24,0,7,0,0,0,0,0
T186,0,5,0,35,0,0,0,0,0
T187,4,2,0,16,0,0,0,0,1
T188,0,1,0,0,9,0,0,0,0
T190,57,37,0,22,0,0,0,0,0
