ind;crop;height_cm;fruiting_length;neigh_radio;neigh_fecundity_intra;neigh_fecundity_inter;neigh_fecundity_total;infra_coer;vegetation_cover;neigh_radio_2;se_obs_h;fruit_type;fruit_color;n_seeds
Ind01;14900 ;680;91 ;15;103860 ;0 ;103860 ;13426.1 ;11251.5 ;100;10;drupe;red;1
Ind02;802560 ;682;67 ;15;11360 ;20449 ;31809 ;4549 ;8059.3 ;100;10;drupe;red;1
Ind03;15000 ;870;58 ;15;130175 ;15479 ;145654 ;8151 ;11565 ;100;10;drupe;red;1
Ind04;50400 ;388;35 ;15;12600 ;0 ;12600 ;291.7 ;10463 ;100;10;drupe;red;1
Ind05;128000 ;358;39 ;15;128000 ;0 ;128000 ;0 ;0 ;100;10;drupe;red;1
Ind06;28512 ;245;54 ;15;0 ;0 ;0 ;1151 ;2896 ;100;10;drupe;red;1
Ind07;30800 ;498;42 ;15;116000 ;4746 ;120746 ;1224 ;12887.2 ;100;10;drupe;red;1
Ind08;9828 ;330;29 ;15;0 ;0 ;0 ;302 ;0 ;100;10;drupe;red;1
Ind09;226800 ;528;71 ;15;87400 ;27905 ;115305 ;2100.3 ;19745.5 ;100;10;drupe;red;1
Ind10;107640 ;720;71 ;15;25200 ;10700 ;35900 ;3256 ;9823 ;100;10;drupe;red;1
Ind11;514000 ;558;34 ;15;1285000 ;106904 ;1391904 ;731 ;12178.9 ;100;10;drupe;red;1
Ind13;22330 ;487;44 ;15;0 ;0 ;0 ;0 ;0 ;100;10;drupe;red;1
Ind14;393300 ;660;72 ;15;64800 ;7080 ;71880 ;8869.3 ;2475.6 ;100;10;drupe;red;1
Ind15;19264 ;297;48 ;15;0 ;0 ;0 ;12021.2 ;3431.5 ;100;10;drupe;red;1
Ind17;110970 ;650;100 ;15;397858 ;0 ;397858 ;5295.12 ;10582 ;100;10;drupe;red;1
Ind18;43920 ;648;37 ;15;378000 ;151318 ;529318 ;1764.2 ;22715.9 ;100;10;drupe;red;1
Ind19;20080 ;413;41 ;15;0 ;5352 ;5352 ;0 ;367 ;100;10;drupe;red;1
Ind20;150000 ;760;63 ;15;97888 ;6644 ;104532 ;6261.37 ;6691.8 ;100;10;drupe;red;1
Ind22;8450 ;512;56 ;15;0 ;4470 ;4470 ;0 ;12403 ;100;10;drupe;red;1
Ind23;226000 ;513;68 ;15;9600 ;26760 ;36360 ;1721 ;4464 ;100;10;drupe;red;1
Ind24;30400 ;500;62 ;15;0 ;0 ;0 ;1780 ;1990.8 ;100;10;drupe;red;1
Ind25;144000 ;428;87 ;15;72000 ;0 ;72000 ;10327.5 ;1051.1 ;100;10;drupe;red;1
Ind26;35280 ;388;55 ;15;0 ;0 ;0 ;5467.2 ;3761 ;100;10;drupe;red;1
Ind27;13140 ;275;53 ;15;19710 ;0 ;19710 ;6421.3 ;2876 ;100;10;drupe;red;1
Ind28;15300 ;390;44 ;15;16195 ;0 ;16195 ;6672.12 ;4338.4 ;100;10;drupe;red;1
Ind29;52500 ;713;61 ;15;27156 ;4080 ;32236 ;4250.8 ;5635 ;100;10;drupe;red;1
