ind;Elaenia_obscura;Thraupis_sayaca;Thraupis_bonariensis;Turdus_amaurochalinus;Turdus_rufiventris;Pitangus_sulphuratus;Tangara_preciosa;Mimus_saturninus;Turdus_albicollis;Stephanophorus_diadematus;Myiopsitta_monachus;Elaenia_flavogaster;Euphonia_chlorotica;Setophaga_pitiayumi;Saltator_similis;Zenaida_auriculata
Ind01;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
Ind02;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;2
Ind03;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;0
Ind04 ;1;0;0;6;2;0;0;0;0;1;0;0;0;0;0;0
Ind05;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0
Ind06 ;1;2;0;34;1;2;0;0;0;0;0;0;0;0;0;0
Ind07;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0
Ind08;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Ind09 ;2;0;0;2;3;0;1;0;3;0;0;0;0;0;0;0
Ind10 ;1;1;0;5;0;1;1;0;0;0;0;0;0;0;0;0
Ind11 ;15;10;12;41;12;1;10;0;8;16;0;0;0;1;0;0
Ind13 ;0;0;0;1;0;1;0;0;0;0;3;6;0;0;0;0
Ind14 ;0;0;0;10;0;1;0;2;0;0;0;0;0;0;0;0
Ind15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ind17 ;0;1;11;52;2;1;3;0;0;2;0;0;0;0;0;0
Ind18 ;1;0;0;7;0;0;0;0;4;0;0;0;0;0;0;0
Ind19;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Ind20 ;1;5;0;51;16;0;0;0;0;0;1;1;3;0;0;0
Ind22;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Ind23 ;0;1;0;24;14;0;0;0;5;3;0;0;0;0;0;0
Ind24;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
Ind25 ;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Ind26;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Ind27 ;0;0;0;35;4;0;0;0;0;0;0;0;0;0;0;0
Ind28 ;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0
Ind29 ;0;11;1;0;2;1;0;0;0;0;0;0;0;0;1;0
