ind,x,y,se_bc_days,se_bc_area,fruit_type,fruit_color,seeds_per_fruit
pang001,-6.44601001404225,36.9655999727547,134,0.22,drupe,purple,1
pang002,-6.44604999572038,36.965539958328,107,0.22,drupe,purple,1
pang003,-6.44587003625929,36.9655899982899,92,0.22,drupe,purple,1
pang004,-6.44566996023058,36.9654399622231,134,0.22,drupe,purple,1
pang005,-6.44568001851439,36.965399980545,107,0.22,drupe,purple,1
pang006,-6.44558999687433,36.9657200016081,107,0.22,drupe,purple,1
pang007,-6.44591001793742,36.9646300189197,92,0.22,drupe,purple,1
pang008,-6.44542001187801,36.9654999766498,107,0.22,drupe,purple,1
pang009,-6.44515003077685,36.9654800277203,92,0.22,drupe,purple,1
pang010,-6.44513997249305,36.9654200132936,92,0.22,drupe,purple,1
