ind,Columba_palumbus,Curruca_conspicillata,Curruca_melanocephala,Cyanopica_cooki,Erithacus_rubecula,NO_ID,Phoenicurus_phoenicurus,Sylvia_undata,Apodemus_sylvaticus,Curruca_communis,Mus_spretus,Sylvia_atricapilla,Turdus_merula
pang011,0.017543859649122806,0.017543859649122806,0.15789473684210525,0.017543859649122806,0.17543859649122806,0.017543859649122806,0.05263157894736842,0.017543859649122806,0,0,0,0,0
pang012,0,0,0.017543859649122806,0,0.05263157894736842,0.03508771929824561,0.017543859649122806,0,0.05263157894736842,0.017543859649122806,0.14035087719298245,0.017543859649122806,0.05263157894736842
pang013,0,0,0.045454545454545456,0,0,0,0,0,0.09090909090909091,0,0,0,0
pang014,0,0,0.017543859649122806,0,0.017543859649122806,0.05263157894736842,0,0,0.017543859649122806,0,0,0,0.017543859649122806
pang015,0,0,0.04285714285714286,0,0.014285714285714285,0,0,0,0,0,0.014285714285714285,0,0
pang016,0,0,0.09411764705882353,0,0.11764705882352941,0.03529411764705882,0.023529411764705882,0.023529411764705882,0,0,0.011764705882352941,0.011764705882352941,0
pang017,0,0,0.017543859649122806,0,0.017543859649122806,0.03508771929824561,0,0,0.07017543859649122,0,0,0,0.05263157894736842
pang018,0,0.011764705882352941,0.011764705882352941,0,0.12941176470588237,0,0,0,0,0,0,0,0
pang019,0,0,0,0,0,0.045454545454545456,0,0,0,0,0,0,0
pang020,0,0,0.03508771929824561,0,0,0.07017543859649122,0.017543859649122806,0,0.03508771929824561,0,0,0,0.017543859649122806
