ind,crop,se_obs_h,fruit_type,fruit_color,seeds_per_fruit
ML03,95.89,72.5,capsule,red,>100
ML05,107,36,capsule,red,>100
ML20,27,2,capsule,red,>100
ML26,35,6,capsule,red,>100
ML27,50,8,capsule,red,>100
ML31,94.75,18,capsule,red,>100
ML34,190.75,15.5,capsule,red,>100
ML35,125,10,capsule,red,>100
ML37,37,11,capsule,red,>100
ML40,110,36,capsule,red,>100
ML47,104,8,capsule,red,>100
ML52,105.5,6,capsule,red,>100
ML54,98,3.5,capsule,red,>100
ML55,174.82999999999998,49.5,capsule,red,>100
ML59,45.4,18,capsule,red,>100
ML60,48,10,capsule,red,>100
ML61,28.5,15.5,capsule,red,>100
ML64,88.5,17,capsule,red,>100
ML72,76,2,capsule,red,>100
ML76,96,10,capsule,red,>100
ML81,52,10,capsule,red,>100
ML82,37,20,capsule,red,>100
ML84,60.75,25.5,capsule,red,>100
ML91,59.5,8,capsule,red,>100
