ind,Capito_auratus,Dacnis_cayana,Dixiphia_pipra,Dixiphia_rubrocapilla,Euphonia_laniirostris,Euphonia_rufiventris,Lepidothrix_coronata,Lipaugus_vociferans,Pachyramphus_rufus,Patagioenas_plumbea,Pteroglossus_beauharnaesii,Tachyphonus_luctuosus,Tachyphonus_surinamus,Tangara_chilensis,Tangara_schrankii,Tangara_velia,Tityra_inquisitor,Trogon_collaris,Trogon_melanurus,Trogon_mesurus,Turdus_albicollis,Patagioenas_subvinacea,Euphonia_chlorotica,Euphonia_minuta,Tangara_gyrola,Tyranneutes_stolzmanni,Celeus_elegans,Cotinga_maynana,Ramphastos_tucanus,Rhytipterna_simplex,Trogon_violaceus,Ramphastos_vitellinus,Machaeroptus_regulus,Tityra_semifasciata,Chlorophanes_spiza,Pteroglossus_azara,Tityra_cayana,Trogon_viridis,Selenidera_reinwardtii,Tachyphonus_rufiventer,Leontocebus_nigrifrons,Saguinus_mystax,Saltator_coerulescens
ML03,0.027586206896551724,0.027586206896551724,1.806896551724138,0.1793103448275862,0.06896551724137931,0.013793103448275862,0.16551724137931034,0.027586206896551724,0.013793103448275862,0.27586206896551724,0.013793103448275862,0.027586206896551724,0.15172413793103448,0.08275862068965517,0.1793103448275862,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.027586206896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML05,0,0,1.7777777777777777,0.19444444444444445,0,0,0.1388888888888889,0,0,0.08333333333333333,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML20,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML26,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML27,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML31,0,0,0.5,0.16666666666666666,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111,0,0,0,0,0,0,0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML34,0,0,0.12903225806451613,0,0,0.06451612903225806,0.3225806451612903,0.06451612903225806,0,0.12903225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML35,0.5,0,1.8,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
ML37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML40,0,0,0.3333333333333333,0.08333333333333333,0,0.08333333333333333,0,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0
ML47,0,0,1,0,0,0,2.625,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0,0
ML52,0,0,1.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML54,0,0,1.4285714285714286,0.5714285714285714,0,0,0,0,0,0,1.1428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML55,0,0,1.898989898989899,0.3838383838383838,0,0.04040404040404041,0.06060606060606061,0,0,0,0,0,0.10101010101010101,0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5656565656565656,0,0.06060606060606061,0.020202020202020204,0.020202020202020204,0.020202020202020204,0,0,0,0,0
ML59,0.05555555555555555,0,1.6111111111111112,0.1111111111111111,0.05555555555555555,0.1111111111111111,0,0.05555555555555555,0,0,0.16666666666666666,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0.1111111111111111,0,0,0,0
ML60,0,0,0.9,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML61,0,0,1.032258064516129,0.12903225806451613,0,0,0,0,0,0,0,0,0.12903225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML64,0.17647058823529413,0,1.0588235294117647,0,0,0.29411764705882354,0.29411764705882354,0,0,0,0,0,0,0.058823529411764705,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0,0
ML72,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML76,0,0,1.5,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
ML81,0,0,0.5,0,0,0,0.4,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML82,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML84,0,0,0.8627450980392157,0,0,0,0,0,0,0.0392156862745098,0,0.0784313725490196,0,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23529411764705882,0.27450980392156865,0.0392156862745098
ML91,0,0,1.5,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
