ind,Chloris_chloris,Cyanistes_caeruleus,Erithacus_rubecula,Hippolais_polyglotta,Luscinia_megarhynchos,Phoenicurus_phoenicurus,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos,Cyanopica_cooki,Fringilla_coelebs,Parus_major,Saxicola_rubicola,Sylvia_atricapilla,Sylvia_hortensis,Turdus_viscivorus,Ficedula_hypoleuca,Sturnus_unicolor,Sylvia_borin,Columba_palumbus,Pyrrhula_pyrrhula,Lanius_meridionalis,Muscicapa_striata,Sylvia_cantillans,Coccothraustes_coccothraustes
301,0.003797769425684895,4.85800522157629e-5,0.008917643096991957,1.67933108491387e-5,4.1312755049533916e-5,2.887985166932318e-4,6.129475274060303e-4,0.01364585644209781,8.768920338017794e-4,0.002241049787940481,5.5279975157216604e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0.004338616730204066,8.186405354455205e-5,0.0061087357423014,0,7.558067190197755e-4,3.647121878891433e-4,0,0.012429175938176273,0,0.004607948054539952,1.2975988046695132e-4,8.677612832976284e-4,1.1087828456863677e-4,4.6570813123720255e-5,1.96262164508791e-4,0.001519355750885815,1.8948917038131522e-4,1.7403683105753098e-5,0,0,0,0,0,0,0,0,0
303,0.0064497856760095664,0,0.003667116306789173,0,0,1.2703845344516797e-4,1.601997883686316e-4,0.00239219508850096,1.336211674966951e-4,0,0,0,5.292527869954702e-5,0,0,4.7291350662224393e-4,7.217879323386069e-5,0,0,0,0,0,0,0,0,0,0
304,0.010160820235025696,8.245673813472446e-5,0.015921321196150664,4.085638507105136e-5,1.5162486788152462e-4,0.002907618165922397,4.8648827722425487e-4,0.02575853675263119,5.863418212712106e-4,0.01320890050888415,0,3.745738173660293e-4,5.178770672587183e-4,1.3550358868041828e-4,1.3781025838931546e-4,0.0022850617421346898,7.196509231306998e-4,0,1.5476490224263368e-4,4.088981723323586e-4,6.268904512091068e-5,0,0,0,0,0,0
305,0.004793859963990338,0,7.146272680466361e-4,0,0,0,0,0.003602266123746171,0,0,9.46157381534483e-6,0,0,0,0,3.193304456312231e-4,0,0,0,0,0,0,0,0,0,0,0
306,0.004361225336399593,2.8620593640776768e-5,0.005024196878224105,0,0,0,2.0170733578801615e-4,0.007464879706346635,0,4.3199495831764247e-4,0,1.6654016047234157e-4,7.039970623834783e-5,9.401690481853205e-5,0,0.0024210833551983942,1.1736645679480184e-4,0,0,0,0,0,0,0,0,0,0
307,0.0033628508282855115,0,0.0029691977164810327,0,2.950532619574915e-5,0,0,0.0014293466872880257,0,2.7133580890055303e-4,0,0,0,1.2604040709246912e-5,0,0.0010875157907507585,0,0,0,0,0,0,0,0,0,0,0
308,0.006727688068931238,0,0.010171598527283355,0,0,1.8151653150332855e-4,0,0.004478241292938756,3.852927719357262e-4,0,2.5954548651222506e-5,0,0,0,0,8.092591812061167e-4,0,0,0,0,0,0,0,0,0,0,0
309,0.003165531351330715,2.242349780373659e-5,0.00537657762549344,0,3.880528951895909e-5,1.1504737052712795e-4,1.1941261491985387e-4,0.002033766627385652,1.3112129633095114e-4,2.756827832714958e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.0038995522094150093,0,0.0021746563282463156,0,2.889378427552158e-5,1.476392777982951e-4,0,0.005444808502028202,1.3490046096211087e-4,2.9093969546073375e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0.001771464004673619,0,0.001651253345503948,6.716236818170137e-6,0,0,0,0.004502509867042843,1.1444595023214142e-4,2.4275505861496232e-4,0,0,0,0,0,2.7363926788650643e-4,0,0,0,0,8.667074984359766e-6,0,0,0,0,0,0
312,0.00157327514500503,0,0.002408427492639897,0,0,0,2.6156077470563827e-4,0.005519855069857977,0,0,0,0,0,0,0,0.001820762265433499,0,0,0,0.0010858980218544586,1.0718388993585337e-4,0,0,0,0,0,0
313,0.007840096368020627,0,0.0033814042737032785,0,0,1.8892066009667494e-4,1.6744980048973032e-4,0.006656055068891672,2.230882758149044e-4,4.872199987565425e-4,0,0,0,0,1.4857859157137564e-4,5.349052030407726e-4,0,0,0,0,0,0,0,0,0,0,0
314,0.013367190350575061,0,0.024662466374148793,0,2.221668799544288e-4,0.0011485949733082259,5.07028891990634e-4,0.02605096903163046,7.224282863538463e-4,0.0038301843153690503,0,0,1.581806496725601e-4,5.4163049643621465e-5,3.6390395963696674e-4,0.005012843382224116,5.093709549704434e-4,0,1.2176501408973875e-4,0.0021522688270896847,1.270563358425455e-4,4.3895447161694485e-4,7.160368269021321e-5,0,0,0,0
315,0.007660360119979974,0,0.004952593274191747,0,6.356904925950789e-5,2.112805254191931e-4,3.657576217264032e-4,0.012693700548671414,0,6.215179656207901e-4,0,0,0,0,0,7.475883656395112e-4,0,0,0,1.987156717430274e-4,0,0,0,8.742762571689751e-5,0,0,0
316,0.0016470976275506242,0,0.0015522748582425068,0,0,0,0,0.003167781946650945,9.453761923636976e-5,0,0,0,2.6172616116161036e-5,0,3.756070613266136e-5,0,0,0,0,0,0,0,0,0,0,0,0
317,0.00211107221675745,0,0.0014619950638530767,0,0,0,0,0.0059356273859410965,0,2.572081836897453e-4,0,0,0,0,0,3.284788414037195e-4,0,0,0,0,0,0,0,0,0,0,0
318,0.031061960463439002,0,0.008851347477597542,0,0,2.97197518908065e-4,0.0019305728642687212,0.009572182703791622,0,0.003291488841760776,0,0,2.317729960346703e-4,0,0,0.0012473208423817534,0,0,0,0,0,0,0,0,1.2098678429104018e-5,0,0
319,0.002775145944198876,0,0.003078827901460961,7.799289206265523e-6,0,2.7738980375823153e-4,0,0.005294696194875981,2.3960678383517836e-4,0,2.7213625760556475e-5,0,6.175372816793509e-5,0,0,9.771177385198004e-4,1.5205312248831585e-4,0,0,0,0,0,1.1656078446646004e-5,0,0,0,0
320,0.008214560736607224,0,0.014634479712488133,0,0,9.675750854086468e-4,3.055170849232488e-4,0.007537240737298848,6.373048410579133e-4,0.0019544563238598875,0,0,1.1410716461946319e-4,0,0,0.0010997188428873287,0,0,0,0,0,0,0,0,0,0,0
321,0.023380838697588127,0,0.012107576379087943,0,0,7.847980508445104e-4,4.19385220867997e-4,0.017923418603671096,0,0.002351637581651092,4.8378259176773884e-5,5.842674537159953e-4,0,3.696812793580635e-5,0,0.009055747105264049,0,0,6.392852100001407e-5,0,0,0,0,0,0,0,0
322,0.0013179308421168738,0,0.004304199328987991,0,2.5880462087726775e-5,1.2204587094621142e-4,1.0559753558280612e-4,0.0028600731104674237,1.2952507787718036e-4,2.7819672331996336e-4,0,8.62436726437458e-5,4.3646967562326146e-5,0,0,6.70851694212663e-4,0,0,0,0,0,0,0,2.615290151608616e-5,0,0,0
323,0,0,0.006622247692670604,0,0,9.823592814385688e-4,6.83345895883628e-4,0.004604055241322389,5.925786992509321e-4,0.001081230718703522,0,0,0,0,9.526670268087188e-4,4.0187013156082975e-4,1.1861791749008374e-4,0,3.276720009168606e-5,0,0,0,0,4.425312628473991e-5,0,0,0
324,0.0018650378266791764,0,0.004676261587014927,0,0,0,4.5858523548927935e-4,0.002894959056850869,0,0,0,0,0,0,4.309350541255903e-5,3.306373546017746e-4,7.652208171622868e-5,0,0,0,0,0,0,0,0,1.1849229094994156e-5,0
325,8.785005577969967e-4,0,0.003567373658054992,0,0,0,8.263898250196737e-5,0.0019771948406768786,1.2881752153654343e-4,2.0765774985717297e-4,0,0,3.80744238180221e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.906697872054049e-6
326,0.015163285215565809,0,0.0049704128813823694,0,0,3.618769183551954e-4,0,0.005925190943234593,3.992058100252225e-4,7.912383749988038e-4,0,0,6.363056386648249e-5,2.1580001872274718e-5,0,0.0013657425114759632,7.162495192061575e-4,0,4.164720833991162e-5,0,0,0,0,0,0,0,0
327,0.0026316240958155035,0,0.0034543791016961537,0,0,2.25107216819539e-4,0,0.006012400405505769,1.5378673146802202e-4,0.003019793870064295,0,1.364704357697035e-4,4.706701785362811e-5,0,0,8.145804446592413e-4,0,0,2.797808593002299e-5,0,0,0,0,0,0,0,0
329,0.010924390093452259,0,0.0030740723576737844,0,0,0,2.524525041999769e-4,0.01144929272739737,2.1420620903406443e-4,6.130515639828988e-4,0,0,0,0,6.679962414268916e-5,5.231817539404934e-4,2.4025704037803188e-4,0,0,0,2.172722799673854e-5,0,0,0,0,2.798269352106909e-5,0
330,0.004640151113520503,0,0.0022423207610268257,0,0,1.5602927267281775e-4,0,0.007397796833885797,2.1260097994953207e-4,3.654171272859368e-4,0,0,0,0,5.279879534629521e-5,6.225883027328746e-4,0,0,0,0,0,0,0,0,0,1.2480529178734214e-5,0
331,0.004832951683346031,0,0.004636190705301469,0,0,7.746799307128443e-4,1.6677732285408974e-4,0.0062515823093050255,3.709117846026249e-4,5.130476968442254e-4,0,0,0,0,0,8.972394351007561e-4,0,0,0,0,0,0,0,0,0,0,0
332,0.012931212378496598,0,0.00492713067017259,0,0,3.4237167360948693e-4,1.8764130498982132e-4,0.006958598023988838,2.2010630703540513e-4,5.987574850762467e-4,0,0,0,3.226288726309125e-5,0,0.002057948457993355,1.3289143323663613e-4,0,0,0,0,0,0,4.751552640237596e-5,0,0,0
334,0.0035410166839253037,0,0.005616280680293753,0,0,1.963785528008644e-4,2.3341214352367898e-4,0.011260705188930478,3.7094905215153437e-4,0,0,0,0,9.767753215547197e-5,6.790079534134515e-5,5.438388220764937e-4,0,0,0,0,0,0,0,4.5326871182930015e-5,0,0,0
335,0,0,0.0043113856675405255,0,0,2.764866190567311e-4,2.1303304252636752e-4,0.007382580077686343,6.880975888423192e-4,0,0,0,0,0,1.564047434453383e-4,6.625161195015224e-4,0,0,0,0,0,0,0,2.781861342056248e-5,0,0,0
336,0.015351344055740481,0,0.009658172272430408,0,0,8.349323546874518e-4,3.863913223604216e-4,0.006927373124357867,5.467752107986007e-4,0.001171224247917447,3.769223082005409e-5,0,0,0,0,0.0022599849358765577,2.1767819883899956e-4,0,0,0,0,0,0,0,1.7036945941147966e-5,0,0
337,0.017208974868487006,5.140815682284589e-5,0.008156362053234056,0,1.402761267313807e-4,9.005321841733885e-4,3.6084742043912527e-4,0.019727151643325624,6.975940926789125e-4,0.007435619589817124,5.905959103886332e-5,0.0034218257024276224,1.7179406043507027e-4,4.727763026417326e-5,1.8368557733828555e-4,0.0026983710833773274,3.341051144623355e-4,0,0,0,0,0,0,8.337176833305508e-5,0,0,0
