ind,Chloris_chloris,Erithacus_rubecula,Sylvia_melanocephala,Cyanopica_cooki,Phoenicurus_phoenicurus,Sylvia_atricapilla,Luscinia_megarhynchos,Sylvia_undata,Columba_palumbus,Fringilla_coelebs,Hippolais_polyglotta,Turdus_philomelos,Turdus_merula,Sylvia_cantillans,Saxicola_rubicola,Sylvia_communis
341,0.013535228629440043,0.0046353913918174665,0.00601205832910887,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0.012714031944885879,0.0046638164870683365,0.005802538737506494,0.00204221115536154,3.9163720622471864e-4,0,0,0,0,0,0,0,0,0,0
343,0,0.004064808335880522,8.572199843266171e-4,0,0,0,1.0845418173436764e-5,0,0,0,0,0,0,0,0,0
344,0.002790219367730471,0.004653323173386767,0.0025514176279975223,0,0,3.4754075776468474e-4,0,4.16736743290932e-4,0,0,0,0,0,0,0,0
345,0.0029226935937055544,0.0022121127325343956,0.0018204729643067962,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0.009608089211743965,0.03206052341389546,0.02272108483168281,0,6.293075816189154e-4,0,0,0,0,0,0,0,0,0,0,0
347,0.0012268511428316585,6.695474196119786e-4,3.83509508960609e-4,0,0,0,0,0,3.25833821688025e-4,4.70886723767693e-6,0,0,0,0,0,0
348,0.005428034513509565,0.009427136398162318,0.009757441567746135,0,0,0,0,0,0,0,3.8829067974289545e-5,0,0,0,0,0
349,0,0.00639788072872782,0.0020019552608783737,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0.004325580616846375,0.018401676502970078,0.0047969241494174465,0,3.0551960604219443e-4,0,0,6.233686328427992e-4,0,0,0,0,0,0,0,0
351,0.0025369679009820405,0.0027602356110061547,9.565831034869915e-4,0,0,0,0,1.0770214898100957e-4,0,0,0,0,0,0,0,0
352,0,0.03048951609289728,0.008338746266583293,0.0068625825803861114,0,0,0,0,0,0,0,0.0012703416011562618,0,0,0,0
353,0.001761682036223299,0.0034413409526420024,0.0016025457399548367,0,0,0,0,1.0325032027175995e-4,0,0,0,0,1.2141499774559934e-4,0,0,0
354,0.05627947737749073,0.027745758094094183,0.004071091542643393,0,0,0,0,0,0,0,0,0,0,0,0,0
355,9.307223651363339e-4,0.0017913338634271863,0,0,0,0,0,0,0,0,0,0,0,4.152812191121616e-6,0,0
356,0,4.368933033913496e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,8.644925207964691e-4,4.307795729027529e-4,0,3.1171866001075955e-5,0,0,0,0,0,0,0,0,0,0,0
358,0,0.003989324537093339,0,3.1487361822442393e-4,2.187188039246024e-4,0,0,0,0,0,0,0,0,0,0,0
359,0.011597465524157217,0.007169332267467748,0.0015650962485314502,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0.005580562012149772,0.006669527253463567,0.004806337897506712,0,0,2.1841584944823554e-4,0,0,0,0,0,0,0,0,0,0
361,0,0.001955595210692077,0.0018225214844376008,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0.008361806558641747,0.002368644191517935,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0.10317251764747803,0.028255632871039698,0.047581534778265204,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0.04002067124995691,0.04496186048282524,0.028046910549423164,0.012205044441830196,0,0,0,0,0,0,0,0.0017637731702714271,0.011472436271533121,0,0,0
365,0,0.01916882664245916,0.008890198792960173,0.03998506899848463,7.431401153664112e-4,0,0,0,0,0,0,0,0,0,0,0
366,0.014629949812704317,0.009759702430852545,0.008158245496764208,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0.03833206750671196,0.0047307248802324255,0.004154792886944114,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0.002657097817565968,0.001361935608908945,3.4916793654452574e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0.005089836937611268,0.001675154182895617,0,1.7332628773193473e-4,0,0,0,0,0,0,0,0,0,0,0
370,0.003031798742508135,0.0034363141313107906,0.0016831010911038048,0,1.4417798480679668e-4,0,0,0,0,0,0,0,0,0,0,0
371,0,0.003782239639768801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0.0019352777843766563,4.20115303084019e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0.0020171241983838414,5.576049896226295e-4,4.3983764472091386e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,1.3236694220418135e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
375,5.885100047971818e-4,0.0011553703267014825,2.2346520775673584e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0.006437535611460835,0.0013492226410573129,7.883311951408234e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
378,8.278058105657603e-4,0.001799494863407325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0.014613926374525299,0.0226236656321953,0.006235638714919047,0,0,0,0,0,0,0,0,0,0,0,2.295873782576861e-4,1.2065193673681306e-4
380,0.009061071765741913,0.01325668691239245,0.003128932948547079,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0.006654905783174693,0.002469830197923131,0.0019923152540238507,0,0,0,0,1.4349699783191552e-4,0,0,0,0,1.9373898108049383e-4,0,3.11276599638961e-5,0
