ind,Turdus_philomelos,Vulpes_vulpes,Turdus_merula,Erithacus_rubecula,Turdus_iliacus,Sylvia_melanocephala,Oryctolagus_cuniculus,Turdus_torquatus,Gennetta_genetta,Meles_meles
C002,0.04966247035212552,0,0.0015143222039773765,0.003594234628717387,0,0,0,0,0,0
C014,0.038314176245210725,0.0021164021164021165,0.004342273307790549,0.00935960591133005,0,0.0020434227330779057,0,0,0,0
C017,0.008082466703156358,0,0,0.018171866447728516,0,0,0,0,0,0
C018,0.0019886881955847474,5.838350665936873e-4,4.0138660828316e-4,0.0017697500456121146,0,0,0,0,0,0
C024,3.6489691662105453e-4,5.291005291005291e-4,0,0.0014230979748221127,0,0,0,0,0,0
C050,0.0659551176792556,6.203247582557927e-4,0.006276226965882138,0.0012588943623426383,0,0,0,0,0,0
C054,0.0036489691662105455,0,0,2.736726874657909e-4,0,0,0,0,0,0
C055,0.015289180806422185,0,0.0011494252873563218,6.750592957489509e-4,0,4.0138660828316e-4,1.277139208173691e-4,0,0,0
C056,0.01753329684364167,8.210180623973727e-4,3.1016237912789634e-4,0.0031928480204342275,0,1.0946907498631637e-4,0,0,2.0069330414158e-4,1.0946907498631637e-4
C057,0.13667214012041598,5.291005291005291e-4,0.013136288998357963,0.004196314541142127,0,0,0,0,0,0
C065,0.04247400109469075,3.1016237912789634e-4,0,0,0,0.002061667578908958,0,0,0,0
C075,0.029410691479656997,0,0,0.004506476920270024,0,2.9191753329684363e-4,0,0,0,0
C083,0.013318737456668492,0,0.0018974639664294836,0,0,2.3718299580368545e-4,0,0,0,0
C086,0.030523627075351212,2.9191753329684363e-4,0.001076445904032111,0,0.001076445904032111,0,0,0,0,0
C106,0.019412515964240103,1.8244845831052726e-4,0.00180623973727422,0.00120415982484948,0,7.845283707352673e-4,0,0,0,0
C107,0.051596424010217114,0.0016785258164568509,0.0035395000912242292,0.011932129173508483,0,0,0,0,0,0
C111,0.005254515599343186,1.6420361247947455e-4,0,0.0018792191205984309,0,0,0,0,0,0
C119,0.003229337712096333,4.0138660828316e-4,2.0069330414158e-4,6.0207991242474e-4,0,0,0,0,0,0
C121,0.0032475825579273854,0,0,0.0014230979748221127,0,0,0,0,0,0
C126,0.022185732530560116,6.568144499178982e-4,0,0.0035395000912242292,0,0,0,0,0,0
C131,0.010454296661193213,1.6420361247947455e-4,0,5.655902207626346e-4,0,0,2.3718299580368545e-4,0,0,0
C140,0.01873745666849115,7.480386790731619e-4,0.0014595876664842181,0.0020434227330779057,0,5.655902207626346e-4,0,0,0,0
C141,0.008794015690567415,0,3.466520707900018e-4,0.0010217113665389529,0,0,0,0,0,0
C150,0.007042510490786353,0,2.9191753329684363e-4,9.487319832147418e-4,0,2.736726874657909e-4,0,1.4595876664842182e-4,1.4595876664842182e-4,0
C153,0.023572340813720123,3.6489691662105453e-4,8.939974457215837e-4,0.002152891808064222,0,5.291005291005291e-4,0,0,5.291005291005291e-4,0
C162,0.05940521802590768,0,0,0.007097245028279511,0,0,0,0,0,0
C165,0.06672140120415983,0,0.00321109286626528,0.0031563583287721217,0,0,0,0,0,0
C168,0.010545520890348476,9.304871373836891e-4,3.1016237912789634e-4,0.0051268016785258165,3.1016237912789634e-4,7.297938332421091e-5,0,0,7.297938332421091e-5,0
C172,0.010910417806969532,0,0.0020434227330779057,0.0023718299580368545,0,0,0,0,0,0
C174,0.006349206349206349,2.0069330414158e-4,0,9.852216748768472e-4,0,3.284072249589491e-4,0,0,0,0
C176,0.012807881773399015,0.0016237912789636927,0.002335340266374749,0.0011676701331873745,0,0.0011676701331873745,0,0,0,0
C193,0.0045247217661010765,1.4595876664842182e-4,5.473453749315818e-4,4.0138660828316e-4,0,0,0,0,0,0
C197,0.001277139208173691,2.0069330414158e-4,0,2.554278416347382e-4,0,0,1.277139208173691e-4,0,0,0
C285,0.002955665024630542,0,7.297938332421091e-5,9.487319832147418e-4,0,0,0,0,0,0
C316,0.02406495165115855,0.0013683634373289546,0.0016785258164568509,6.933041415800036e-4,0,3.1016237912789634e-4,0,0,0,0
