ind,Turdus_philomelos,Vulpes_vulpes,Turdus_merula,Erithacus_rubecula,Turdus_iliacus,Sylvia_melanocephala,Sylvia_atricapilla,Oryctolagus_cuniculus,Gennetta_genetta,Meles_meles
O006,0.012751396991851906,0,0.0018216281416931295,0.0027078256160303275,0,0,0,0,0,0
O008,0.010486670112990178,0.0010092804568840312,3.20015754621766e-4,0.0010092804568840312,0,0,0,0.002289343475371095,3.20015754621766e-4,0
O023,0.019693277207493292,3.20015754621766e-4,0.0027078256160303275,0.007901927479506684,0,6.646481057528986e-4,0,9.846638603746645e-4,0,0
O042,0.030623046057652068,0,0,0,0.001083130246412131,0,0,0.0018216281416931295,0,0
O045,0.031927725672648496,0,0.0016739285626369298,8.369642813184649e-4,8.369642813184649e-4,0,0,5.415651232060655e-4,0,0
O054,0.019594810821455824,0,0,7.138812987716319e-4,0,7.138812987716319e-4,0,0.003643256283386259,0,0
O067,0.02493661226398838,0,0,0.0010092804568840312,0,0,0,4.4309873716859906e-4,0,0
O072,0.013391428501095438,0,2.2154936858429953e-4,0.002806292002067794,0,0,7.138812987716319e-4,0.0020924107032961625,0,2.2154936858429953e-4
O105,0.04342367624252271,2.7078256160303275e-4,0.0013785294045245305,0.006671097654038353,0,0,0,0.0013785294045245305,0,0
O112,0.03291238953302317,0,0,0.005095635477438889,0,0,0,0,0,0
O123,0.004824852915835857,0,0,5.907983162247988e-4,0,0,5.907983162247988e-4,0.0010092804568840312,0,0
O136,0.007188046180735052,0,9.60047263865298e-4,7.631144917903651e-4,3.6924894764049925e-4,0,0,0.0014277625975432637,0,0
O137,1.969327720749329e-4,0,1.969327720749329e-4,3.938655441498658e-4,0,0,0,0.0011815966324495975,0,0
O148,0.015828471555522732,0,9.354306673559314e-4,0.0013046796149964305,0,0,0,0.004283287792629791,0,0
O231,0.01112670162223371,5.415651232060655e-4,0,0.0020924107032961625,5.415651232060655e-4,7.877310882997316e-4,0,0.0017477783521650297,0,0
O241,0.0158530881520321,3.938655441498658e-4,0.002363193264899195,0.0034217069148019595,0.0015016123870713635,0,0,0.0015754621765994633,0,0
O268,0.017576249907687764,3.938655441498658e-4,0.004480220564704724,0.0012062132289589642,0,0.0011815966324495975,0,0.005095635477438889,0,0
O304,0.06159072446643527,0.001969327720749329,0.0016985451591462965,0.015188440046279202,0,0,0,0.0030524579671614605,0,0
O314,0.0030278413706520935,0,4.4309873716859906e-4,4.4309873716859906e-4,2.2154936858429953e-4,0,0,0,0,0
O334,0.00915737390148438,0,0,0,0,0,0,0,0,0
O352,0.02604435910690988,0.0010092804568840312,0.002806292002067794,0.004012505231026758,0,0,0,4.1848214065923244e-4,0,0
O384,0.026585924230115944,0,6.892647022622652e-4,0.002806292002067794,0,0,0,7.138812987716319e-4,0,0
O463,0.005046402284420156,2.2154936858429953e-4,2.2154936858429953e-4,0.002240110282352362,0,4.677153336779657e-4,0,0.001969327720749329,0,0
O488,0.014868424291657436,0,6.154149127341654e-4,0.004184821406592325,0,3.938655441498658e-4,0,0.0029047583881052605,0,0
O514,0.023238067104842084,0,0,0.007557295128375551,0,0,0,0.001723161755655663,0,0
O553,0.034143219358491496,8.123476848090983e-4,0.00647416488196342,0.006597247864510253,8.123476848090983e-4,0,0,3.446323511311326e-4,0,0
O580,0.019742510400512024,0,0.009329690077049948,0.005514117618098122,0,8.123476848090983e-4,0,0.0011077468429214977,0,0
O582,0.020579474681830492,0,0.001797011545183763,0.0012554464219776973,0,0,0,0.0016493119661275632,0,0
O621,0.018363980995987496,0,0.0015016123870713635,0.0017723949486743963,0,0,0,8.123476848090983e-4,0,0
O626,0.006375698495925953,0,2.7078256160303275e-4,5.169485266966989e-4,2.7078256160303275e-4,0,0,0,0,0
O642,0.022524185806070452,0,0.006031066144794821,0.007606528321394284,0,2.2154936858429953e-4,0,0,0,0
O682,0.033847820200379096,3.446323511311326e-4,0.007803461093469217,0.009108140708465648,0,0,0,0.007975777269034784,0,0
O685,0.05132560372202939,0,0.012825246781380006,0.014966890677694902,0,0,0,0.0027324422125396945,0,0
O766,0.030795362233217636,0,0.0027324422125396945,0.005858749969229254,0,0,0,0,0,0
O839,0.0022154936858429955,0,0.0015754621765994633,0.0010092804568840312,0,0,0,2.2154936858429953e-4,0,0
