ind,Turdus_philomelos,Vulpes_vulpes,Turdus_merula,Erithacus_rubecula,Turdus_iliacus,Sylvia_melanocephala,Sylvia_atricapilla,Oryctolagus_cuniculus,Cyanopica_cooki,Turdus_torquatus,Meles_meles
M029,0.006870491240123669,0,6.870491240123669e-4,6.870491240123669e-4,0,0,0,0,0,0,0
M036,0.0037100652696667813,0,0.0012366884232222603,0.0042597045688766745,0,0,0,0,0,0,0
M058,0.02988663689453796,0.0024733768464445206,0.005015458605290278,0.007488835451734799,0,0,0,0,0,0,0
M065,3.4352456200618345e-4,0,0,6.870491240123669e-4,0,0,0,0,0,0,0
M087,0.010717966334592923,0,0,0.006046032291308828,0,0.001305393335623497,0,0.0031604259704568877,0,0,6.183442116111301e-4
M136,0.007763655101339746,0.0015802129852284439,0.0018550326348333907,8.93163861216077e-4,0,0.0014428031604259703,0,0.0021298522844383373,5.496392992098935e-4,8.93163861216077e-4,0
M139,0.005633802816901409,0,4.809343868086568e-4,4.809343868086568e-4,0,0,0,0.0010305736860185502,0,0.0010305736860185502,0
M144,0.0019237375472346272,2.0611473720371008e-4,2.0611473720371008e-4,0.001786327722432154,0,6.183442116111301e-4,0,0.004671934043284095,0.0042597045688766745,0,0
M176,0.022603916180006872,0,0.006939196152524906,0.003503950532463071,0,0,0,0,0,0,0
M207,0.01882514599793885,0.0019237375472346272,0.0038474750944692544,0.005771212641703881,0,0,0,0,0.0038474750944692544,0,0
M208,0.011679835108210237,0,0.0029543112332531775,0,0,0,0,5.496392992098935e-4,0,0,0
M215,0.016076949501889384,0,0.006870491240123669,0.006870491240123669,0,0,0,0,0,0,0
M219,0.006458261765716249,0,0.001511508072827207,0,0,0,0,0,0,0,0
M304,0.032085194091377535,0,0,5.496392992098935e-4,0,0,0,5.496392992098935e-4,0,0,0
M315,0.0042597045688766745,0,6.183442116111301e-4,0.0024046719340432843,0,0,0,6.183442116111301e-4,0,0,6.183442116111301e-4
M381,0.00810717966334593,0,0.005427688079697698,0.004053589831672965,0,0,0,0,0,0,0
M457,0.06204053589831673,0,0.0023359670216420475,0.004740638955685331,0,0,0.0023359670216420475,6.870491240123669e-4,0,0,0
M460,0.02342837512882171,0,0,0.0028856063208519407,0,0,0,0,0,0,0
M518,0.02493988320164892,0.001992442459635864,0,0.0027481964960494676,0,0,0,0,0,0,0
M520,0.010305736860185504,0,0.0012366884232222603,0.0016489178976296806,0,0,0,0,0,0,0
M531,0.011542425283407763,0,0,0.007763655101339746,0,0,0,0,0,0,0
M541,0.030436276193747853,0.0010305736860185502,0.0021298522844383373,0.0073514256269323255,0,0,0,6.183442116111301e-4,0,6.183442116111301e-4,0
M581,0.016076949501889384,0,0.0010305736860185502,0.004740638955685331,0,0,0,0,0,0,0
M648,0.02466506355204397,0.0028169014084507044,0.0036413603572655446,0.0028169014084507044,0,0,0,0.0024733768464445206,0,0,0
M664,0.01806939196152525,0,0.002679491583648231,0.0031604259704568877,0.001099278598419787,0,0,5.496392992098935e-4,0,0,5.496392992098935e-4
M694,0.00810717966334593,0,0.001099278598419787,0.0011679835108210238,0,0.0021298522844383373,0,6.183442116111301e-4,0,0,0
M702,0.027413260048093437,0,0.001511508072827207,0.009206458261765716,0,0,0,0,0,0,0
M749,0.016901408450704224,0.0031604259704568877,7.557540364136036e-4,0.008175884575747167,0,0,0,0.0023359670216420475,0.0010305736860185502,0,0
M820,0.025833047062864996,0,0.0024046719340432843,0.004671934043284095,0,0,0.0012366884232222603,0.0017176228100309172,0,0,0
M826,0.0410168327035383,0,0.0037787701820680177,0.010511851597389214,0,0,0,0.0065956715905187225,0,0,0
M843,0.031810374441772586,0.0031604259704568877,0.0038474750944692544,0.0022672621092408108,0.0031604259704568877,0,0,0.005977327378907592,0.004671934043284095,0,0
M847,0.015527310202679492,0,0,9.618687736173136e-4,2.0611473720371008e-4,0,0,0.006114737203710066,0,0,7.557540364136036e-4
M849,0.009481277911370663,0,0,0.0017176228100309172,0,0,0,0.0027481964960494676,0,0,0
M956,0.03510821023703195,0.003091721058055651,5.496392992098935e-4,0.011267605633802818,0,8.244589488148403e-4,0,0.04252834077636551,2.7481964960494675e-4,0,0
M986,0.017725867399519066,0,0.012229474407420131,0.003984884919271728,0,0,0,0.007282720714531089,0,0,0
