ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_triurus,Pitangus_sulphuratus,Pipraidea_bonariensis,Microspingus_melanoleucus,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus
1,0,0.006349206349206349,0,0,0,0,0.0380952380952381,0.025396825396825397,0,0
2,0.04126984126984127,0.06349206349206349,0,0,0,0,0,0,0,0
3,0.009523809523809525,0,0,0,0,0,0,0.009523809523809525,0,0
4,0.012698412698412698,0.009523809523809525,0,0,0,0,0,0,0,0
5,0.022222222222222223,0,0.006349206349206349,0,0,0.006349206349206349,0,0,0,0.03492063492063492
6,0.08571428571428572,0,0.047619047619047616,0,0,0,0,0,0,0.10158730158730159
7,0.022222222222222223,0,0.02857142857142857,0,0,0,0,0,0,0.022222222222222223
8,0.13015873015873017,0,0,0,0,0,0,0,0,0
9,0.01904761904761905,0,0,0,0,0,0,0.009523809523809525,0,0.01904761904761905
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0.006349206349206349,0.0031746031746031746,0,0,0,0,0,0,0,0.0380952380952381
13,0.015873015873015872,0.009523809523809525,0.015873015873015872,0,0,0,0,0,0,0
14,0,0.022222222222222223,0,0,0.015873015873015872,0,0,0.025396825396825397,0.015873015873015872,0.022222222222222223
15,0.025396825396825397,0,0,0.006349206349206349,0,0,0,0,0,0.006349206349206349
