ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Mimus_triurus,Turdus_nigriceps,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Psilopsiagon_aymara,Myiopsitta_monachus,Thectocercus_acuticaudata
31,0.029227557411273485,0,0,0,0,0.0041753653444676405,0,0,0,0,0,0,0
32,0.027139874739039668,0.0041753653444676405,0.014613778705636743,0,0,0,0,0.04801670146137787,0,0,0,0.008350730688935281,0
33,0,0.010438413361169102,0,0,0,0,0.008350730688935281,0.008350730688935281,0,0,0,0,0
34,0.022964509394572025,0.08350730688935282,0.08977035490605428,0,0,0,0,0,0,0,0,0,0
35,0.016701461377870562,0.031315240083507306,0.0041753653444676405,0.008350730688935281,0,0,0.006263048016701462,0.09603340292275574,0,0,0,0,0
36,0,0.006263048016701462,0.008350730688935281,0,0,0,0,0,0,0,0,0.014613778705636743,0
37,0.010438413361169102,0,0,0,0,0,0.05219206680584551,0.0041753653444676405,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0.006263048016701462,0.037578288100208766,0.012526096033402923
39,0.07515657620041753,0,0.025052192066805846,0,0,0,0,0,0,0.025052192066805846,0,0,0
40,0.016701461377870562,0,0.006263048016701462,0,0,0,0,0.008350730688935281,0,0.0041753653444676405,0,0.018789144050104383,0
41,0,0,0,0,0,0.012526096033402923,0,0,0,0,0,0,0
42,0.0041753653444676405,0,0.010438413361169102,0,0.006263048016701462,0,0,0,0,0,0,0.012526096033402923,0.031315240083507306
43,0,0,0.014613778705636743,0,0,0,0,0,0.014613778705636743,0,0,0,0
44,0.020876826722338204,0.018789144050104383,0,0,0,0,0,0,0,0,0,0,0
