ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Cyclaris_gujanensis,Turdus_nigriceps,Piranga_flava,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus,Thectocercus_acuticaudata
45,0.06358381502890173,0.046242774566473986,0.025048169556840076,0,0,0,0,0,0.01348747591522158,0,0,0
46,0.03468208092485549,0,0,0,0,0,0,0,0,0,0,0
47,0.04431599229287091,0.04046242774566474,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0.005780346820809248,0,0,0,0.007707129094412331,0,0,0
49,0,0.01348747591522158,0.007707129094412331,0.011560693641618497,0,0,0.009633911368015413,0,0,0,0,0
50,0.04816955684007707,0.12716763005780346,0.01348747591522158,0,0,0,0,0,0,0,0.038535645472061654,0
51,0.02119460500963391,0,0.055876685934489405,0,0.03275529865125241,0,0,0,0,0,0,0
52,0.04431599229287091,0,0,0,0,0,0,0,0,0,0.015414258188824663,0.011560693641618497
53,0.02697495183044316,0.0038535645472061657,0,0,0,0,0,0,0,0,0,0
54,0.011560693641618497,0.015414258188824663,0.02697495183044316,0,0,0,0,0.005780346820809248,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0.017341040462427744,0,0.01348747591522158,0,0,0.0038535645472061657,0,0,0.023121387283236993,0,0,0
57,0.007707129094412331,0.007707129094412331,0,0,0,0,0.005780346820809248,0,0,0.009633911368015413,0,0.04238921001926782
58,0.02119460500963391,0.01348747591522158,0,0,0.011560693641618497,0,0,0,0,0,0,0
