ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Cyclaris_gujanensis,Pachyramphus_validus,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Colaptes_melanochloros,Myiopsitta_monachus,Thectocercus_acuticaudata
59,0.009966777408637873,0,0,0,0,0,0,0.026578073089700997,0,0,0.026578073089700997
60,0.016611295681063124,0,0,0,0,0,0,0.03986710963455149,0,0,0
61,0,0,0,0,0,0,0,0,0.04318936877076412,0,0
62,0,0,0,0,0,0,0,0,0,0,0
63,0.03986710963455149,0.036544850498338874,0.016611295681063124,0,0,0,0.006644518272425249,0.006644518272425249,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,0.009966777408637873,0.016611295681063124,0,0.013289036544850499,0,0,0,0,0,0,0
66,0.14950166112956811,0.06976744186046512,0.04318936877076412,0,0,0.023255813953488372,0,0,0.023255813953488372,0.08305647840531562,0
67,0,0,0,0,0,0.08970099667774087,0,0,0,0,0
68,0,0,0,0,0.016611295681063124,0,0,0,0,0,0
69,0,0.016611295681063124,0,0,0,0,0,0,0,0,0.053156146179401995
70,0,0,0,0,0,0,0,0,0,0,0
71,0.006644518272425249,0,0,0,0,0,0,0.026578073089700997,0,0,0.036544850498338874
72,0.036544850498338874,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0.016611295681063124,0,0,0,0,0
