ind,Turdus_chiguanco,Turdus_amaurochalinus,Turdus_rufiventris,Pipraidea_bonariensis,Saltator_aurantiirostris,Patagioenas_maculosa,Myiopsitta_monachus
74,0.01646090534979424,0.024691358024691357,0,0,0,0.01646090534979424,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0.06172839506172839,0.05761316872427984,0,0.0205761316872428,0,0,0
78,0.012345679012345678,0,0.01646090534979424,0,0,0.01646090534979424,0
79,0,0,0,0,0,0,0
80,0,0.024691358024691357,0.00823045267489712,0,0.012345679012345678,0,0
81,0.012345679012345678,0,0,0,0,0.11934156378600823,0
82,0.12757201646090535,0.0205761316872428,0,0,0,0,0
83,0.012345679012345678,0,0,0,0,0.11934156378600823,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0.18518518518518517
86,0,0.01646090534979424,0,0,0,0,0.0411522633744856
87,0.01646090534979424,0.012345679012345678,0,0,0,0.0205761316872428,0
88,0,0,0,0,0,0,0.00823045267489712
