ind,Parus_caeruleus,Regulus_ignicapillus,Turdus_philomelos,Parus_major,Sylvia_atricapilla,Fringilla_coelebs,Erithacus_rubecula,Turdus_merula,Turdus_iliacus,Phylloscopus_collybita,NO_ID,Ficedula_hypoleuca,Sitta_europaea,Parus_cristatus,Sylvia_borin,Certhia_brachydactyla,Aegithalos_caudatus,Garrulus_glandarius
17,0.04398119066291561,4.1491689304637365e-4,0.004504811981646342,0,0.004149168930463736,0,0.009799941854809587,0.021575678438411426,0,4.1491689304637365e-4,0,0.002489501358278242,0,0.0037342520374173626,0,0.001244750679139121,0.004149168930463736,0
8,0.09071998283038557,0.0012128339950586307,0,0,0.0018192509925879462,0,0.004002352183693481,0.024256679901172615,0,0,0.0036385019851758924,6.064169975293154e-4,0,0.0012128339950586307,0,6.064169975293154e-4,0.004851335980234523,0
10,0.11330922225263745,0.007701908397192053,0.008712603393074246,0.0063983181167889,0.03105927601631439,0.004558440695713561,0.014261112656182608,0.04539051852935413,0.01769747564218206,0.008712603393074246,0.0012128339950586307,6.064169975293154e-4,0.00131390349464685,0,0,0,0,0.0012128339950586307
13,0.008616762453265387,0.00394171048394055,0,7.333414853842883e-4,0.0014666829707685766,0,0.00394171048394055,0.0014666829707685766,0.04106712318152015,0,0,0,0.00394171048394055,0,0,0,0,0
12,0.0019306337064198614,0,0,0,0,0,0,0,0,0.0038612674128397227,0,0,0,0,0,0,0,0
25,0.01261347354860976,0,0.00157668419357622,0,0.023650262903643297,0,0.007453416187814858,0,0,0.004300047800662419,0,0,0,0,0,0,0,0
189,0.08452779148894733,0,0,0,0,8.759356630978999e-4,0,0,0,0,0.0017518713261957999,0,8.759356630978999e-4,0.00131390349464685,0,0,0,0
9,0.001970855241970275,6.56951747323425e-4,0.00131390349464685,0,0.011168179704498224,0,0,0.0026278069892937,0,0.006569517473234249,0.001970855241970275,0,0,0,0,0,0,0
35,0.00394171048394055,0,0,0.00131390349464685,0.0105112279571748,0,0.009197324462527948,0.0420449118286992,0,0,0,0,0,0,0.0026278069892937,0,0,0
465,0.0026278069892937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0.011825131451821649,0,0.011036789355033539,0.00394171048394055,0,0,0,0,0,0,0,0,0,0
69,0.0078834209678811,0,0,0,0.017737697177732475,0,0.01970855241970275,0.041387960081375776,0,0,0.005912565725910824,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0.0078834209678811,0,0,0,0.0078834209678811,0,0,0,0,0,0,0
31,0.0052556139785874,0.002956282862955412,0,0,0,0,0,0.007226469220557675,0,0,0,0,0,0,0,0,0,0
4,0.00315336838715244,0,0.00315336838715244,0,0.00157668419357622,0,0.0028666985337749452,0.00551839467751677,0,7.8834209678811e-4,7.8834209678811e-4,0,0,0,0,0,0,0
2,7.8834209678811e-4,0,0,0,0.011825131451821649,0,0,0,0,0.00315336838715244,0,0,0,0,0,0,0,0
30,0,0,0,0,0.00394171048394055,0,0,0,0,0,0.0078834209678811,0,0,0,0,0,0,0
34,0.00394171048394055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
